date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-03-02,-0.036553054883682316,1.0,0.008528907557046406,0.0006236733905345711,9.92063492063492e-05,-0.045804842180469645,-0.045804842180469645,1
2020-03-03,0.034167876276401485,0.19999999999999996,0.004987102205196522,0.0005029863830048935,9.92063492063492e-05,0.02857858133899372,-0.017226260841475924,1
2020-03-04,-0.011438631622508785,0.25,0.00443483922884145,0.0002847863257980794,9.92063492063492e-05,-0.01625746352635466,-0.033483724367830585,1
2020-03-05,0.0020623460042102416,0.4,0.006565248516649286,0.0004958784278780625,9.92063492063492e-05,-0.0050979872895234556,-0.03858171165735404,1
2020-03-06,-0.026220242694794248,0.6,0.009313916830884575,0.0006665702992138472,9.92063492063492e-05,-0.03629993617409902,-0.07488164783145305,1
2020-03-09,0.020727121056242158,0.3500000000000001,0.0050819440113161985,0.000345034658650414,9.92063492063492e-05,0.015200936037069197,-0.05968071179438386,1
2020-03-10,-0.013089243330723059,0.55,0.008071785411477364,0.0006453358208307723,9.92063492063492e-05,-0.02190557091223754,-0.08158628270662141,1
2020-03-11,0.015775702457897983,0.44999999999999996,0.00698421705095663,0.0005172221506901126,9.92063492063492e-05,0.00817505690704489,-0.07341122579957651,1
2020-03-12,-0.0077749797831453814,0.5,0.00741297838635525,0.0006278592112734558,9.92063492063492e-05,-0.015915023729980438,-0.08932624952955695,1
2020-03-13,-0.008021807023116521,0.30000000000000004,0.005451009584764651,0.00032987880765157385,9.92063492063492e-05,-0.013901901764739096,-0.10322815129429605,1
2020-03-16,0.005812277206254879,0.55,0.006790532186086152,0.0007133454598288356,9.92063492063492e-05,-0.0017908067888664572,-0.1050189580831625,1
2020-03-17,0.010323145965800085,0.55,0.007568444198262479,0.0006142951839355149,9.92063492063492e-05,0.0020412002343957424,-0.10297775784876675,1
2020-03-18,0.010599787268384203,0.44999999999999996,0.006290115089028802,0.0005065726534858783,9.92063492063492e-05,0.0037038931766631734,-0.09927386467210358,1
2020-03-19,-0.020720755680698727,0.4,0.006305240728563006,0.0005353804300559978,9.92063492063492e-05,-0.02766058318852408,-0.12693444786062766,1
2020-03-20,0.027670998177098574,0.5,0.010191405194072566,0.0009228558656971667,9.92063492063492e-05,0.016457530768122494,-0.11047691709250516,1
2020-03-23,0.028953763818936877,0.3500000000000001,0.007671854131269932,0.0007912641473653917,9.92063492063492e-05,0.020391439191095206,-0.09008547790140996,1
2020-03-24,0.04801500013981954,0.44999999999999996,0.011381158500064265,0.0009521022064223469,9.92063492063492e-05,0.03558253308412658,-0.05450294481728338,1
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.05450294481728338,0
2020-04-10,0.0016811362915683404,1.0,0.01923555529349167,0.0015142644068692496,9.92063492063492e-05,-0.019167889757998928,-0.07367083457528231,1
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.07367083457528231,0
2020-05-12,-0.012845410214208833,1.0,0.01023654422551288,0.0005534292377181895,9.92063492063492e-05,-0.02373459002664625,-0.09740542460192857,1
2020-05-13,-0.004203357080499483,0.6111111111111112,0.011911713295659918,0.0007467823836508311,9.92063492063492e-05,-0.01696105910901658,-0.11436648371094515,1
2020-05-14,-0.019506205315348746,0.4444444444444444,0.008129262528588171,0.0003781727295387162,9.92063492063492e-05,-0.028112846922681983,-0.14247933063362714,1
2020-05-15,0.008234711404670844,0.8333333333333334,0.011028470075501505,0.0006501349722283617,9.92063492063492e-05,-0.0035430999922653715,-0.1460224306258925,1
2020-05-18,-0.004360430137629823,0.33333333333333326,0.0052861157917427435,0.000306994174989909,9.92063492063492e-05,-0.010052746453568824,-0.15607517707946134,1
2020-05-19,0.03605152449050311,0.8333333333333334,0.010199293938176427,0.000727443198758387,9.92063492063492e-05,0.025025581004361946,-0.1310495960750994,1
2020-05-20,0.0099991688176485,0.38888888888888884,0.007179982722812863,0.000342449000726394,9.92063492063492e-05,0.0023775307449028947,-0.12867206533019648,1
2020-05-21,0.0049619566852118985,0.38888888888888884,0.006053087480995323,0.0003815847137078442,9.92063492063492e-05,-0.0015719218586976178,-0.1302439871888941,1
2020-05-22,0.01559783470633454,0.7777777777777778,0.009824658806317143,0.0007882122910437203,9.92063492063492e-05,0.004885757259767328,-0.12535822992912676,1
2020-05-25,-0.009674640376920257,0.5,0.00566216467774494,0.0002780541605571117,9.92063492063492e-05,-0.015714065564428656,-0.14107229549355543,1
2020-05-26,5.6213418559224876e-05,0.7222222222222222,0.009715466404195364,0.0007071941926879351,9.92063492063492e-05,-0.010465653527530422,-0.15153794902108586,1
2020-05-27,0.03730929195442222,0.38888888888888884,0.005479862040302081,0.00032072321465721325,9.92063492063492e-05,0.03140950035025658,-0.12012844867082928,1
2020-05-28,0.004927500531159732,0.7222222222222222,0.008852778871410828,0.0006162224121464168,9.92063492063492e-05,-0.004640707101603862,-0.12476915577243314,1
2020-05-29,0.008305803892493822,0.9444444444444444,0.009470523114566701,0.0006772130375084782,9.92063492063492e-05,-0.0019411386087877062,-0.12671029438122083,1
2020-06-01,0.006501418544159065,0.5,0.007069877136114726,0.0005416318403394819,9.92063492063492e-05,-0.0012092967815014915,-0.12791959116272233,1
2020-06-02,0.007297327401621553,0.8333333333333334,0.010759395163496409,0.000727363193089913,9.92063492063492e-05,-0.0042886373041711185,-0.13220822846689345,1
2020-06-03,-0.0023726095708391545,0.8888888888888888,0.010262812123174538,0.0006446347711153434,9.92063492063492e-05,-0.013379262814335385,-0.14558749128122883,1
2020-06-04,-0.007193945053961333,0.5,0.006118896307197785,0.000403571335322521,9.92063492063492e-05,-0.013815619045687988,-0.1594031103269168,1
2020-06-05,0.011325604522002344,0.5,0.00850541055133886,0.0004926430654995701,9.92063492063492e-05,0.002228344555957565,-0.15717476577095923,1
2020-06-08,-0.015795638827981642,0.4444444444444444,0.005941805851166065,0.0004149359203987312,9.92063492063492e-05,-0.02225158694875279,-0.17942635271971202,1
2020-06-09,0.0014673371364150659,0.5555555555555556,0.007318859573929599,0.0005045771139597829,9.92063492063492e-05,-0.006455305900680665,-0.1858816586203927,1
2020-06-10,0.005312434927358866,0.38888888888888884,0.0064411154275365945,0.0004097559347785717,9.92063492063492e-05,-0.0016376427841626488,-0.18751930140455533,1
2020-06-11,-0.0016138215396316116,0.6111111111111112,0.006885439442637899,0.00040982796154569065,9.92063492063492e-05,-0.009008295293021551,-0.19652759669757688,1
2020-06-12,-0.020508102145575958,0.6111111111111112,0.009347765305352586,0.0006320398868000871,9.92063492063492e-05,-0.03058711368693498,-0.22711471038451186,1
2020-06-15,0.014410250119834829,0.5555555555555556,0.0071957968198275825,0.0006127851745156472,9.92063492063492e-05,0.006502461776285251,-0.22061224860822662,1
2020-06-16,-0.02879608010562899,0.7222222222222222,0.010169636715366245,0.000688680461699705,9.92063492063492e-05,-0.03975360363190129,-0.2603658522401279,1
2020-06-17,0.008148960966395901,0.6111111111111112,0.01049227472533272,0.0007206435512933817,9.92063492063492e-05,-0.0031631636594365506,-0.26352901589956446,1
2020-06-18,-0.0018200282054306554,0.5555555555555556,0.01002883885419681,0.0006853253813208576,9.92063492063492e-05,-0.012633398790154671,-0.27616241468971914,1
2020-06-19,0.012901914398876498,0.7777777777777778,0.011689577329397637,0.0008299722496605794,9.92063492063492e-05,0.00028315847061193347,-0.2758792562191072,1
2020-06-22,0.004597428111519855,0.8888888888888888,0.012007368185030303,0.0007748134627534086,9.92063492063492e-05,-0.008283959885470206,-0.2841632161045774,1
2020-06-23,-0.006461985782075968,0.9444444444444444,0.013758329499558753,0.0008596251922912065,9.92063492063492e-05,-0.021179146823132277,-0.30534236292770967,1
2020-06-24,0.020235757887934833,0.6111111111111112,0.009094705522762165,0.0005884581552498931,9.92063492063492e-05,0.010453387860716427,-0.29488897506699324,1
2020-06-25,0.0022933885418274,0.6111111111111112,0.009294498409786698,0.0006300532666381806,9.92063492063492e-05,-0.007730369483803827,-0.3026193445507971,1
2020-06-26,0.009519947579756478,0.2777777777777778,0.004437150953786837,0.00033988708356950747,9.92063492063492e-05,0.004643703193193785,-0.2979756413576033,1
2020-06-29,-0.000571830546384612,0.4444444444444444,0.006849327529412868,0.000494121283454572,9.92063492063492e-05,-0.008014485708458401,-0.3059901270660617,1
2020-06-30,-0.0031614638290387662,0.7222222222222222,0.00973282627094864,0.0006289933396743505,9.92063492063492e-05,-0.013622489788868106,-0.3196126168549298,1
2020-07-01,0.032380011679795546,0.7777777777777778,0.012960696769939065,0.0008129376552387711,9.92063492063492e-05,0.01850717090541136,-0.30110544594951844,1
2020-07-02,-0.012999895861806771,0.4444444444444444,0.007276705638142564,0.0004896584342541394,9.92063492063492e-05,-0.020865466283409823,-0.3219709122329283,1
2020-07-03,-0.002821807574408766,0.6111111111111112,0.00873653837860152,0.0006085125669408657,9.92063492063492e-05,-0.012266064869157501,-0.3342369771020858,1
2020-07-06,-0.00571132889187319,0.6111111111111112,0.009387699437915467,0.0006663600866216032,9.92063492063492e-05,-0.015864594765616608,-0.3501015718677024,1
2020-07-07,-0.018722321447167234,0.6666666666666667,0.010107524064108992,0.0008103303235309404,9.92063492063492e-05,-0.029739382184013514,-0.3798409540517159,1
2020-07-08,-0.008314603065236313,0.38888888888888884,0.0057586851478407764,0.0004625954998355038,9.92063492063492e-05,-0.014635090062118942,-0.39447604411383486,1
2020-07-09,0.004274228196762911,0.6666666666666666,0.010720688397879125,0.0007994166702882368,9.92063492063492e-05,-0.007345083220610799,-0.40182112733444564,1
2020-07-10,0.002846101004631873,0.5,0.009608951260866205,0.0005601544830580634,9.92063492063492e-05,-0.007422211088498743,-0.40924333842294436,1
2020-07-13,0.0009136469996919114,0.5,0.008579470474411167,0.0005323374909177258,9.92063492063492e-05,-0.00829736731484333,-0.4175407057377877,1
2020-07-14,0.004495964405157937,0.6111111111111112,0.007251257800586013,0.0004561947999157153,9.92063492063492e-05,-0.0033106945445501405,-0.4208514002823378,1
2020-07-15,0.0040784869869665875,0.38888888888888884,0.005228767513366964,0.0002261868007995402,9.92063492063492e-05,-0.0014756736764062655,-0.4223270739587441,1
