date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,-0.0041434451008048,1.0,0.0004,0.0,1.984126984126984e-05,-0.00456328637064607,-0.00456328637064607,1
2020-02-06,0.0,1.0,0.0004,0.0,0.0,-0.0004,-0.00496328637064607,1
2020-02-07,0.003258035539119,1.0,0.0004,0.0,1.984126984126984e-05,0.00283819426927773,-0.0021250921013683402,1
2020-02-10,-0.0,1.0,0.0004,0.0,0.0,-0.0004,-0.0025250921013683404,1
2020-02-11,0.0124959085789535,1.0,0.0004,0.0,0.0,0.0120959085789535,0.00957081647758516,1
2020-02-12,0.0086551682077524,0.0,0.0,0.0,0.0,0.0086551682077524,0.018225984685337558,1
2020-02-13,-0.0033718838588289,0.0,0.0,0.0,0.0,-0.0033718838588289,0.014854100826508659,1
2020-02-14,0.0030821407182715,0.0,0.0,0.0,0.0,0.0030821407182715,0.017936241544780157,1
2020-02-17,0.0051635967946209,0.0,0.0,0.0,0.0,0.0051635967946209,0.023099838339401057,1
2020-02-18,-0.0,1.0,0.0004,0.0,0.0,-0.0004,0.022699838339401056,1
2020-02-19,-0.0045522966992154,1.0,0.0004,0.0,1.984126984126984e-05,-0.00497213796905667,0.017727700370344386,1
2020-02-20,-0.0016882448723525,1.0,0.0004,0.0,0.0,-0.0020882448723525,0.015639455497991887,1
2020-02-21,-0.0,1.0,0.0004,0.0,0.0,-0.0004,0.015239455497991888,1
2020-02-24,-0.0180286600879957,1.0,0.0004,0.0,0.0,-0.0184286600879957,-0.0031892045900038125,1
2020-02-25,0.0,1.0,0.0004,0.0,0.0,-0.0004,-0.0035892045900038127,1
2020-02-26,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0035892045900038127,1
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035892045900038127,1
2020-02-28,-0.0245223871938067,1.0,0.0004,0.0,0.0,-0.0249223871938067,-0.028511591783810512,1
2020-03-02,-0.0061711387824463,1.0,0.0004,0.0,1.984126984126984e-05,-0.00659098005228757,-0.03510257183609808,1
2020-03-03,-0.000260929314006,1.0,0.0004,0.0,0.0,-0.000660929314006,-0.03576350115010408,1
2020-03-04,-0.0023901636195433,0.0,0.0,0.0,0.0,-0.0023901636195433,-0.03815366476964738,1
2020-03-05,0.0206008210775876,0.0,0.0,0.0,0.0,0.0206008210775876,-0.017552843692059776,1
2020-03-06,-0.0234804184247729,0.0,0.0,0.0,0.0,-0.0234804184247729,-0.041033262116832676,1
2020-03-09,-0.0432288830484556,0.0,0.0,0.0,0.0,-0.0432288830484556,-0.08426214516528828,1
2020-03-10,-0.013961285308833,1.0,0.0004,0.0,1.984126984126984e-05,-0.01438112657867427,-0.09864327174396255,1
2020-03-11,0.0063566906508117,0.0,0.0,0.0,1.984126984126984e-05,0.00633684938097043,-0.09230642236299212,1
2020-03-12,-0.0,1.0,0.0004,0.0,0.0,-0.0004,-0.09270642236299212,1
2020-03-13,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.09270642236299212,1
2020-03-16,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.09270642236299212,1
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.09270642236299212,1
2020-03-18,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.09270642236299212,1
2020-03-19,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.09270642236299212,1
