date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,-0.0041434451008048,1.0,0.0015,0.0,1.984126984126984e-05,-0.00566328637064607,-0.00566328637064607,1
2020-02-06,0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.007163286370646071,1
2020-02-07,0.003258035539119,1.0,0.0015,0.0,1.984126984126984e-05,0.0017381942692777303,-0.00542509210136834,1
2020-02-10,-0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.00692509210136834,1
2020-02-11,0.0124959085789535,1.0,0.0015,0.0,0.0,0.0109959085789535,0.00407081647758516,1
2020-02-12,0.0086551682077524,0.0,0.0,0.0,0.0,0.0086551682077524,0.01272598468533756,1
2020-02-13,-0.0033718838588289,0.0,0.0,0.0,0.0,-0.0033718838588289,0.00935410082650866,1
2020-02-14,0.0030821407182715,0.0,0.0,0.0,0.0,0.0030821407182715,0.012436241544780161,1
2020-02-17,0.0051635967946209,0.0,0.0,0.0,0.0,0.0051635967946209,0.017599838339401062,1
2020-02-18,-0.0,1.0,0.0015,0.0,0.0,-0.0015,0.01609983833940106,1
2020-02-19,-0.0045522966992154,1.0,0.0015,0.0,1.984126984126984e-05,-0.006072137969056669,0.010027700370344391,1
2020-02-20,-0.0016882448723525,1.0,0.0015,0.0,0.0,-0.0031882448723525,0.006839455497991891,1
2020-02-21,-0.0,1.0,0.0015,0.0,0.0,-0.0015,0.005339455497991891,1
2020-02-24,-0.0180286600879957,1.0,0.0015,0.0,0.0,-0.0195286600879957,-0.01418920459000381,1
2020-02-25,0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.01568920459000381,1
2020-02-26,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.01568920459000381,1
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.01568920459000381,1
2020-02-28,-0.0245223871938067,1.0,0.0015,0.0,0.0,-0.0260223871938067,-0.04171159178381051,1
2020-03-02,-0.0061711387824463,1.0,0.0015,0.0,1.984126984126984e-05,-0.007690980052287569,-0.04940257183609808,1
2020-03-03,-0.000260929314006,1.0,0.0015,0.0,0.0,-0.001760929314006,-0.05116350115010408,1
2020-03-04,-0.0023901636195433,0.0,0.0,0.0,0.0,-0.0023901636195433,-0.05355366476964738,1
2020-03-05,0.0206008210775876,0.0,0.0,0.0,0.0,0.0206008210775876,-0.03295284369205978,1
2020-03-06,-0.0234804184247729,0.0,0.0,0.0,0.0,-0.0234804184247729,-0.05643326211683268,1
2020-03-09,-0.0432288830484556,0.0,0.0,0.0,0.0,-0.0432288830484556,-0.09966214516528829,1
2020-03-10,-0.013961285308833,1.0,0.0015,0.0,1.984126984126984e-05,-0.01548112657867427,-0.11514327174396256,1
2020-03-11,0.0063566906508117,0.0,0.0,0.0,1.984126984126984e-05,0.00633684938097043,-0.10880642236299214,1
2020-03-12,-0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.11030642236299214,1
2020-03-13,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.11030642236299214,1
2020-03-16,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.11030642236299214,1
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.11030642236299214,1
2020-03-18,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.11030642236299214,1
2020-03-19,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.11030642236299214,1
