date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-10,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1
2020-02-11,0.0124959085789535,1.0,0.0015,0.0,0.0,0.0109959085789535,0.0109959085789535,1
2020-02-12,0.0086551682077524,0.0,0.0,0.0,0.0,0.0086551682077524,0.0196510767867059,1
2020-02-13,-0.0033718838588289,0.0,0.0,0.0,0.0,-0.0033718838588289,0.016279192927877,1
2020-02-14,0.0030821407182715,0.0,0.0,0.0,0.0,0.0030821407182715,0.019361333646148497,1
2020-02-17,0.0051635967946209,0.0,0.0,0.0,0.0,0.0051635967946209,0.024524930440769397,1
2020-02-18,-0.0,1.0,0.0015,0.0,0.0,-0.0015,0.023024930440769396,1
2020-02-19,-0.0045522966992154,1.0,0.0015,0.0,1.984126984126984e-05,-0.006072137969056669,0.016952792471712726,1
2020-02-20,-0.0016882448723525,1.0,0.0015,0.0,0.0,-0.0031882448723525,0.013764547599360227,1
2020-02-21,-0.0,1.0,0.0015,0.0,0.0,-0.0015,0.012264547599360227,1
2020-02-24,-0.0180286600879957,1.0,0.0015,0.0,0.0,-0.0195286600879957,-0.007264112488635474,1
2020-02-25,0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.008764112488635473,1
2020-02-26,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.008764112488635473,1
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.008764112488635473,1
2020-02-28,-0.0245223871938067,1.0,0.0015,0.0,0.0,-0.0260223871938067,-0.03478649968244217,1
2020-03-02,-0.0061711387824463,1.0,0.0015,0.0,1.984126984126984e-05,-0.007690980052287569,-0.04247747973472974,1
2020-03-03,-0.000260929314006,1.0,0.0015,0.0,0.0,-0.001760929314006,-0.044238409048735744,1
2020-03-04,-0.0023901636195433,0.0,0.0,0.0,0.0,-0.0023901636195433,-0.04662857266827904,1
2020-03-05,0.0206008210775876,0.0,0.0,0.0,0.0,0.0206008210775876,-0.026027751590691442,1
2020-03-06,-0.0234804184247729,0.0,0.0,0.0,0.0,-0.0234804184247729,-0.04950817001546434,1
2020-03-09,-0.0432288830484556,0.0,0.0,0.0,0.0,-0.0432288830484556,-0.09273705306391994,1
2020-03-10,-0.013961285308833,1.0,0.0015,0.0,1.984126984126984e-05,-0.01548112657867427,-0.10821817964259421,1
2020-03-11,0.0063566906508117,0.0,0.0,0.0,1.984126984126984e-05,0.00633684938097043,-0.10188133026162378,1
2020-03-12,-0.0,1.0,0.0015,0.0,0.0,-0.0015,-0.10338133026162379,1
2020-03-13,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.10338133026162379,1
2020-03-16,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.10338133026162379,1
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,1
2020-03-18,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.10338133026162379,1
2020-03-19,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.10338133026162379,1
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,1
2020-03-23,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.10338133026162379,1
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,1
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.10338133026162379,0
