date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-02-03,-0.0154082120836193,0.0,0.0004,0.0,0.0,-0.0158082120836193,-0.0158082120836193,1
2020-02-04,0.0011037891601877,0.0,0.0,0.0,0.0,0.0011037891601877,-0.0147044229234316,1
2020-02-05,0.0089317287112111,0.0,0.0,0.0,0.0,0.0089317287112111,-0.0057726942122205,1
2020-02-06,0.0087993107054879,0.0,0.0,0.0,0.0,0.0087993107054879,0.0030266164932674002,1
2020-02-07,-0.0028992278961138,0.0,0.0,0.0,0.0,-0.0028992278961138,0.00012738859715360042,1
2020-02-10,-0.0119703944608461,0.0,0.0,0.0,0.0,-0.0119703944608461,-0.0118430058636925,1
2020-02-11,0.005631336368545,0.0,0.0,0.0,0.0,0.005631336368545,-0.0062116694951475,1
2020-02-12,0.0012721015054868,0.0,0.0,0.0,0.0,0.0012721015054868,-0.0049395679896606995,1
2020-02-13,0.0032738318442107,0.0,0.0,0.0,0.0,0.0032738318442107,-0.0016657361454499994,1
2020-02-14,-0.0001119652838811,0.0,0.0,0.0,0.0,-0.0001119652838811,-0.0017777014293310993,1
2020-02-17,-0.0002318069635179,0.0,0.0,0.0,0.0,-0.0002318069635179,-0.002009508392848999,1
2020-02-18,-0.0072468527752197,0.0,0.0,0.0,0.0,-0.0072468527752197,-0.009256361168068699,1
2020-02-19,0.0061516455409963,0.0,0.0,0.0,0.0,0.0061516455409963,-0.0031047156270723993,1
2020-02-20,0.0059586501314567,0.0,0.0,0.0,0.0,0.0059586501314567,0.0028539345043843006,1
2020-02-21,-0.0136893087718672,0.0,0.0,0.0,0.0,-0.0136893087718672,-0.010835374267482899,1
2020-02-24,-0.0228213863129077,0.0,0.0,0.0,0.0,-0.0228213863129077,-0.0336567605803906,1
2020-02-25,-0.001680065171992,0.0,0.0,0.0,0.0,-0.001680065171992,-0.035336825752382596,1
2020-02-26,-0.0189751726510727,0.0,0.0,0.0,0.0,-0.0189751726510727,-0.0543119984034553,1
2020-02-27,-0.0013973279880085,0.0,0.0,0.0,0.0,-0.0013973279880085,-0.055709326391463795,1
2020-02-28,-0.0170405782176626,0.0,0.0,0.0,0.0,-0.0170405782176626,-0.07274990460912639,1
2020-03-02,-0.0050300903404828,1.0,0.0004,0.0,1.984126984126984e-05,-0.00544993161032407,-0.07819983621945047,1
2020-03-03,0.0,1.0,0.0004,0.0,0.0,-0.0004,-0.07859983621945046,1
2020-03-04,-0.0041492838802154,1.0,0.0004,0.0,0.0,-0.0045492838802154,-0.08314912009966587,1
2020-03-05,0.0090781533657656,0.0,0.0,0.0,0.0,0.0090781533657656,-0.07407096673390026,1
2020-03-06,-0.0155475342290024,0.0,0.0,0.0,0.0,-0.0155475342290024,-0.08961850096290266,1
2020-03-09,-0.0294457573832669,0.0,0.0,0.0,0.0,-0.0294457573832669,-0.11906425834616957,1
2020-03-10,-0.0061165948058935,0.0,0.0,0.0,0.0,-0.0061165948058935,-0.12518085315206307,1
2020-03-11,-0.0013948941661347,1.0,0.0004,0.0,1.984126984126984e-05,-0.0018147354359759698,-0.12699558858803903,1
2020-03-12,0.0106949204347008,0.0,0.0,0.0,1.984126984126984e-05,0.01067507916485953,-0.1163205094231795,1
2020-03-13,0.0627980193610645,0.0,0.0,0.0,1.984126984126984e-05,0.06277817809122323,-0.05354233133195627,1
2020-03-16,-0.0190060782388767,0.0,0.0,0.0,1.984126984126984e-05,-0.01902591950871797,-0.07256825084067424,1
2020-03-17,0.044123151090349,0.0,0.0,0.0,1.984126984126984e-05,0.04410330982050773,-0.028464941020166508,1
2020-03-18,-0.0081464256258336,0.0,0.0,0.0,1.984126984126984e-05,-0.008166266895674871,-0.03663120791584138,1
2020-03-19,-0.0216899212565124,0.0,0.0,0.0,1.984126984126984e-05,-0.02170976252635367,-0.05834097044219505,1
2020-03-20,-0.027639228327867,0.0,0.0,0.0,1.984126984126984e-05,-0.02765906959770827,-0.08600004003990332,1
2020-03-23,0.060335388228528,0.0,0.0,0.0,1.984126984126984e-05,0.06031554695868673,-0.025684493081216585,1
2020-03-24,-0.0274321423190555,0.0,0.0,0.0,1.984126984126984e-05,-0.02745198358889677,-0.053136476670113356,1
2020-03-25,-0.0355236441129502,0.0,0.0,0.0,1.984126984126984e-05,-0.035543485382791465,-0.08867996205290482,1
2020-03-26,0.0033197681528244,0.0,0.0,0.0,1.984126984126984e-05,0.00329992688298313,-0.0853800351699217,1
2020-03-27,0.0405771347461403,1.0,0.0004,0.0,0.0,0.040177134746140306,-0.04520290042378139,1
2020-03-30,-0.0279764622949389,0.0,0.0,0.0,0.0,-0.0279764622949389,-0.07317936271872029,1
2020-03-31,0.0128285404634276,0.0,0.0,0.0,0.0,0.0128285404634276,-0.06035082225529269,1
2020-04-01,-0.0099430274208385,0.0,0.0,0.0,0.0,-0.0099430274208385,-0.07029384967613118,1
2020-04-02,0.0047766248060395,0.0,0.0,0.0,0.0,0.0047766248060395,-0.06551722487009168,1
2020-04-03,-0.0036516266073979,1.0,0.0004,0.0,1.984126984126984e-05,-0.00407146787723917,-0.06958869274733084,1
2020-04-06,-0.0114157554054626,0.0,0.0,0.0,1.984126984126984e-05,-0.011435596675303871,-0.08102428942263472,1
2020-04-07,0.0192566421581301,1.0,0.0004,0.0,0.0,0.0188566421581301,-0.06216764726450462,1
2020-04-08,0.00431395046517,1.0,0.0004,0.0,1.984126984126984e-05,0.00389410919532873,-0.05827353806917589,1
2020-04-09,0.0169814772119834,1.0,0.0004,0.0,0.0,0.0165814772119834,-0.04169206085719249,1
2020-04-10,-0.0002450734497922,0.0,0.0,0.0,0.0,-0.0002450734497922,-0.04193713430698469,1
2020-04-13,0.0039848746019425,1.0,0.0004,0.0,1.984126984126984e-05,0.00356503333210123,-0.03837210097488346,1
2020-04-14,0.0112468877199142,1.0,0.0004,0.0,0.0,0.0108468877199142,-0.027525213254969257,1
2020-04-16,0.009506100899334,1.0,0.0004,0.0,1.984126984126984e-05,0.00908625962949273,-0.018438953625476526,1
