model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,main_hk,gap,tercile_ls,1.0,0.0,-8.506670639911889,-1.1135759859039525,-6.808720533395892,7.951397299856291,0.0
lgbm,main_hk,gap,tercile_ls,1.0,1.0,-8.749525519247204,-1.1495667995522465,-7.004752279427635,7.951397299856291,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.0,1.5,-8.869948632970106,-1.1675622063763937,-7.102768152443514,7.951397299856291,0.3264880952380952
lgbm,main_hk,gap,tercile_ls,1.0,2.0,-8.989696546245755,-1.1855576132005405,-7.200784025459391,7.951397299856291,0.4353174603174603
lgbm,main_hk,intraday,tercile_ls,1.0,0.0,-7.8341868503559,-1.8034206299146482,-10.920349289992133,11.121088805077306,0.0
lgbm,main_hk,intraday,tercile_ls,1.0,1.0,-7.975298833053004,-1.8394114435629423,-11.137611194754031,11.121088805077306,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.0,1.5,-8.045550841433982,-1.8574068503870893,-11.246242147134963,11.121088805077306,0.3264880952380952
lgbm,main_hk,intraday,tercile_ls,1.0,2.0,-8.1155988554953,-1.875402257211236,-11.35487309951593,11.121088805077306,0.4353174603174603
lgbm,main_hk,cc,tercile_ls,1.0,0.0,-4.759575072082443,-1.1933062039909474,-7.246202950239068,8.303205994176954,0.0
lgbm,main_hk,cc,tercile_ls,1.0,1.0,-4.897879078143285,-1.2292970176392415,-7.463068029604165,8.303205994176954,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.0,1.5,-4.966863122877263,-1.2472924244633885,-7.571500569286685,8.303205994176954,0.3264880952380952
lgbm,main_hk,cc,tercile_ls,1.0,2.0,-5.035733412035899,-1.2652878312875355,-7.679933108969242,8.303205994176954,0.4353174603174603
lgbm,main_kr,gap,tercile_ls,1.0,0.0,-8.885196006629293,-0.9988603891247541,-6.045681388342912,7.550762467608924,0.0
lgbm,main_kr,gap,tercile_ls,1.0,1.0,-9.110326855976853,-1.0277770010748524,-6.220284562946086,7.550762467608924,0.17476190476190476
lgbm,main_kr,gap,tercile_ls,1.0,1.5,-9.221998495522222,-1.042235307049902,-6.307586150247671,7.550762467608924,0.26214285714285723
lgbm,main_kr,gap,tercile_ls,1.0,2.0,-9.333070205810548,-1.056693613024951,-6.394887737549248,7.550762467608924,0.3495238095238095
