model,universe,target,strategy,breakeven_spread_mult,breakeven_borrow_mult,net_sharpe_base
lgbm,main_hk,gap,tercile_ls,,,-8.749525519247204
lgbm,main_hk,intraday,tercile_ls,,,-7.975298833053004
lgbm,main_hk,cc,tercile_ls,,,-4.897879078143285
lgbm,main_kr,gap,tercile_ls,,,-9.110326855976854
lgbm,main_kr,intraday,tercile_ls,,,-6.865612617208273
lgbm,main_kr,cc,tercile_ls,,,-6.688555018299767
lgbm,index_hk,gap,index_threshold,0.6997266730812315,,-0.7989005926178007
lgbm,index_hk,intraday,index_threshold,,,-2.5603860990309255
lgbm,index_hk,cc,index_threshold,,,-1.6665389349669744
lgbm,index_kr,gap,index_threshold,1.102627940640605,inf,0.27785256616779014
lgbm,index_kr,intraday,index_threshold,,,-1.7002401250314285
lgbm,index_kr,cc,index_threshold,0.7072913899630098,,-0.45672474624408016
tcn,main_hk,gap,tercile_ls,,,-10.356117331256192
tcn,main_hk,intraday,tercile_ls,,,-6.51988474466795
tcn,main_hk,cc,tercile_ls,,,-6.081458982516994
tcn,main_kr,gap,tercile_ls,,,-10.603737318555115
tcn,main_kr,intraday,tercile_ls,,,-6.745281099968569
tcn,main_kr,cc,tercile_ls,,,-5.985199764436009
tcn,index_hk,gap,index_threshold,,,-0.3607469724009485
tcn,index_hk,intraday,index_threshold,,,-0.18143862376451092
tcn,index_hk,cc,index_threshold,inf,inf,0.2826422182957948
tcn,index_kr,gap,index_threshold,,,-0.9641765235431972
tcn,index_kr,intraday,index_threshold,,,-0.5410628436373311
tcn,index_kr,cc,index_threshold,,,-0.9973710311736983
