date,market,ticker,adv_usd,rank
2019-01-02,HK,1299.HK,173865911.48370576,1
2019-01-02,HK,0175.HK,66414585.08978568,2
2019-01-02,HK,1177.HK,62405952.74696411,3
2019-01-02,HK,1928.HK,59891421.815525636,4
2019-01-02,HK,0688.HK,48951723.79352503,5
2019-01-02,HK,2269.HK,38032359.730480775,6
2019-01-02,HK,6030.HK,25757251.4221147,7
2019-01-02,HK,0992.HK,23985707.529436965,8
2019-01-02,HK,2319.HK,22319365.34147633,9
2019-01-02,HK,0981.HK,17959152.523461543,10
2019-01-02,HK,0586.HK,15737618.61643166,11
2019-01-02,HK,6881.HK,13507236.733355936,12
2019-01-02,HK,2689.HK,12705093.286351813,13
2019-01-02,HK,0656.HK,9150234.11272936,14
2019-01-02,HK,2331.HK,8259292.655947125,15
2019-01-02,HK,3908.HK,6927232.005029054,16
2019-01-02,HK,0303.HK,4526481.261830467,17
2019-01-02,HK,1071.HK,4487643.632274981,18
2019-01-02,HK,0152.HK,3943512.940383868,19
2019-01-02,HK,1788.HK,2726739.395977207,20
2019-01-02,HK,1382.HK,2306743.8862623083,21
2019-01-02,HK,3319.HK,2055899.9401963365,22
2019-01-02,HK,2727.HK,1695798.31158141,23
2019-01-02,HK,3738.HK,1366890.1282051282,24
2019-01-02,HK,0860.HK,1063668.9691025638,25
2019-01-02,HK,1368.HK,821463.4989416441,26
2019-01-02,HK,0242.HK,737133.4401070515,27
2019-02-01,HK,1299.HK,169300308.48108608,1
2019-02-01,HK,0175.HK,131673400.52532227,2
2019-02-01,HK,1177.HK,63746390.67680649,3
2019-02-01,HK,0688.HK,63231888.698307335,4
2019-02-01,HK,1928.HK,57012945.6151859,5
2019-02-01,HK,6030.HK,42039517.53037815,6
2019-02-01,HK,0992.HK,35190296.0011131,7
2019-02-01,HK,2319.HK,29830109.757176716,8
2019-02-01,HK,2269.HK,27731292.194057696,9
2019-02-01,HK,0981.HK,19521398.2974359,10
2019-02-01,HK,0656.HK,15574941.056133997,11
2019-02-01,HK,2331.HK,14342646.795356754,12
2019-02-01,HK,3908.HK,13655054.08710884,13
2019-02-01,HK,0586.HK,10872567.75021023,14
2019-02-01,HK,2689.HK,10540440.341998572,15
2019-02-01,HK,6881.HK,7321943.82485163,16
2019-02-01,HK,0152.HK,7011620.6478341,17
2019-02-01,HK,2013.HK,6593334.02928994,18
2019-02-01,HK,0303.HK,4670433.294723907,19
2019-02-01,HK,1071.HK,4412462.491825554,20
2019-02-01,HK,3319.HK,2823824.379781441,21
2019-02-01,HK,1788.HK,2789501.6808625106,22
2019-02-01,HK,3738.HK,1852357.2435897435,23
2019-02-01,HK,1368.HK,1828242.9796612568,24
2019-02-01,HK,1070.HK,1752919.4838328674,25
2019-02-01,HK,2727.HK,1600189.301266667,26
2019-02-01,HK,1382.HK,1561835.3150002076,27
2019-02-01,HK,0242.HK,1530154.519446795,28
2019-03-01,HK,1299.HK,227025367.60444736,1
2019-03-01,HK,0175.HK,122188915.65147884,2
2019-03-01,HK,6030.HK,103424180.68504186,3
2019-03-01,HK,1928.HK,75606809.69959617,4
2019-03-01,HK,0992.HK,63352380.267860904,5
2019-03-01,HK,1177.HK,63248024.172816254,6
2019-03-01,HK,0688.HK,58927089.693353236,7
2019-03-01,HK,3908.HK,44984376.31440768,8
2019-03-01,HK,2319.HK,41392796.89099153,9
2019-03-01,HK,6881.HK,36517588.77284369,10
2019-03-01,HK,2269.HK,34211077.288807705,11
2019-03-01,HK,0981.HK,33726187.28839745,12
2019-03-01,HK,0586.HK,20025822.22658074,13
2019-03-01,HK,0656.HK,19655267.034874506,14
2019-03-01,HK,2331.HK,17193229.702535704,15
2019-03-01,HK,2689.HK,16520291.156075317,16
2019-03-01,HK,0152.HK,8499927.831807572,17
2019-03-01,HK,1788.HK,7377034.389663097,18
2019-03-01,HK,0303.HK,6131876.041864922,19
2019-03-01,HK,3319.HK,4934377.406827832,20
2019-03-01,HK,1071.HK,3671261.2975310097,21
2019-03-01,HK,0242.HK,3159176.828535898,22
2019-03-01,HK,2727.HK,3027103.11461218,23
2019-03-01,HK,1382.HK,2057546.6686131272,24
2019-03-01,HK,1368.HK,1617666.9883683217,25
2019-03-01,HK,1070.HK,1387110.3179538748,26
2019-03-01,HK,2013.HK,1336330.0641025645,27
2019-03-01,HK,0860.HK,1224566.0768589745,28
2019-03-01,HK,3738.HK,1171125.8333333335,29
2019-04-01,HK,1299.HK,201865789.74523124,1
2019-04-01,HK,0175.HK,133327839.44546159,2
2019-04-01,HK,6030.HK,94909934.36684105,3
2019-04-01,HK,2269.HK,78193580.41021155,4
2019-04-01,HK,0688.HK,57881207.95657589,5
2019-04-01,HK,1928.HK,52106826.35878206,6
2019-04-01,HK,1177.HK,47470595.36218615,7
2019-04-01,HK,0992.HK,47317159.739759505,8
2019-04-01,HK,2331.HK,44327159.513595834,9
2019-04-01,HK,2319.HK,38110072.229923636,10
2019-04-01,HK,0981.HK,27199340.417564105,11
2019-04-01,HK,6881.HK,25079269.291493867,12
2019-04-01,HK,3908.HK,24816570.70858047,13
2019-04-01,HK,0656.HK,20177042.628891744,14
2019-04-01,HK,0586.HK,19543696.65942707,15
2019-04-01,HK,1368.HK,17531178.90846672,16
2019-04-01,HK,2689.HK,15123261.946569521,17
2019-04-01,HK,3319.HK,7139951.344302776,18
2019-04-01,HK,0152.HK,6163655.070117662,19
2019-04-01,HK,1788.HK,5188289.884184208,20
2019-04-01,HK,0303.HK,5005825.814895915,21
2019-04-01,HK,1070.HK,4502694.889380233,22
2019-04-01,HK,1071.HK,4155646.2487006434,23
2019-04-01,HK,0242.HK,3657817.3770179497,24
2019-04-01,HK,2727.HK,3108542.0651346156,25
2019-04-01,HK,2013.HK,2795137.826923077,26
2019-04-01,HK,1382.HK,1762604.7304571725,27
2019-04-01,HK,3738.HK,1172828.841025641,28
2019-04-01,HK,0860.HK,891784.6025641027,29
2019-05-02,HK,0175.HK,232600404.889697,1
2019-05-02,HK,1299.HK,178688753.8598987,2
2019-05-02,HK,1928.HK,69873714.10267308,3
2019-05-02,HK,0688.HK,62923523.33247479,4
2019-05-02,HK,6030.HK,60316578.52765179,5
2019-05-02,HK,3908.HK,59395432.53044339,6
2019-05-02,HK,1177.HK,50576899.79368151,7
2019-05-02,HK,2319.HK,41912042.87445405,8
2019-05-02,HK,0992.HK,37249946.82046764,9
2019-05-02,HK,2269.HK,31106277.15051923,10
2019-05-02,HK,2331.HK,28579418.941963363,11
2019-05-02,HK,6881.HK,23396928.94153254,12
2019-05-02,HK,0981.HK,23103173.9075641,13
2019-05-02,HK,1368.HK,19401929.605278693,14
2019-05-02,HK,0656.HK,17943534.011948206,15
2019-05-02,HK,0586.HK,14518108.702212464,16
2019-05-02,HK,2013.HK,12627722.82371795,17
2019-05-02,HK,2689.HK,7898069.765322253,18
2019-05-02,HK,0152.HK,7842852.757119524,19
2019-05-02,HK,3319.HK,4969160.87928116,20
2019-05-02,HK,1071.HK,4856193.446923882,21
2019-05-02,HK,0242.HK,4662902.509358974,22
2019-05-02,HK,2727.HK,3909749.3543570517,23
2019-05-02,HK,1788.HK,3828215.088677693,24
2019-05-02,HK,0303.HK,3625280.074444934,25
2019-05-02,HK,1070.HK,2670887.23455546,26
2019-05-02,HK,1382.HK,1559411.8837103,27
2019-05-02,HK,3738.HK,1422087.9751282053,28
2019-05-02,HK,0860.HK,683897.5650641026,29
2019-05-02,HK,0412.HK,586691.3803846154,30
2019-06-03,HK,1299.HK,235196382.81919742,1
2019-06-03,HK,0175.HK,118053731.41152406,2
