market,target,cost_multiplier,net_sharpe,ann_return_net,max_drawdown_net
HK,gap,0.5,0.7297348232373868,0.09613403098648755,-0.41273638806631696
HK,gap,1.0,-1.565691964970103,-0.20792242254098578,-1.520687862280648
HK,gap,1.5,-3.7954635661979435,-0.5119788760684593,-3.2295456335671124
HK,gap,2.0,-5.914538490079411,-0.8160353295959326,-5.0474953812802825
HK,intraday,0.5,-1.3211036991818517,-0.33184392769911797,-2.217589720080324
HK,intraday,1.0,-2.992140200977793,-0.752078065498831,-4.63920625292641
HK,intraday,1.5,-4.65829219843356,-1.1723122032985442,-7.118767529089808
HK,intraday,2.0,-6.3166998651552495,-1.5925463410982572,-9.625210082557995
HK,cc,0.5,-0.13520197415361346,-0.03901329012860294,-1.0624365348681712
HK,cc,1.0,-1.2471756260422757,-0.36040025322458247,-2.389352258572154
HK,cc,1.5,-2.352082090017842,-0.681787216320562,-4.228175522082095
HK,cc,2.0,-3.4446344644188507,-1.0031741794165416,-6.1160110175339035
KR,gap,0.5,1.7418286098379938,0.21960888651027946,-0.12823388604213937
KR,gap,1.0,-0.28193129395430727,-0.03565281535391469,-0.6903418415303274
KR,gap,1.5,-2.2877456255365236,-0.29091451721810885,-1.9183460867673348
KR,gap,2.0,-4.260917907043849,-0.546176219082303,-3.3515676240469827
KR,intraday,0.5,-0.22704227663029863,-0.04888538554221168,-0.9712044931808335
KR,intraday,1.0,-1.4558832865477744,-0.31356367935036017,-2.162169394057181
KR,intraday,1.5,-2.68093849697504,-0.5782419731585087,-3.573633686440112
KR,intraday,2.0,-3.8980529481153945,-0.8429202669666573,-5.116527392988485
KR,cc,0.5,-0.4934652517864906,-0.11867543052012745,-1.0857027609633993
KR,cc,1.0,-1.5769316454519728,-0.3793119265335851,-2.4379198644511724
KR,cc,1.5,-2.657134727987254,-0.6399484225470428,-3.964804647109201
KR,cc,2.0,-3.7306169431244762,-0.9005849185605005,-5.500405203306042
