model,universe,target,strategy,gate,net_sharpe_fixed,gross_sharpe_fixed,ann_return_fixed,spread_cost_fixed,max_drawdown_fixed,pct_days_invested,net_sharpe_cs,ann_return_cs,spread_cost_cs,max_drawdown_cs,delta_net_sharpe,spread_cost_ratio
lgbm,index_hk,cc,index_threshold,gate_off,0.828990116819425,1.093335452381326,0.1547867983005719,0.2915999999999999,-0.2788036384452215,49.31147540983606,-1.0845326733517209,-0.204216785734083,2.4641415303684475,-1.4358207549635935,-1.9135227901711456,8.450416770810865
tcn,index_hk,cc,index_threshold,gate_off,0.2290895511721495,0.2753081441432615,0.0155994438092184,0.018,-0.1391052124279505,5.573770491803279,-0.0038608382247824,-0.0002635392883286,0.1139962270784096,-0.1520972509140418,-0.2329503893969318,6.333123726578312
lgbm,index_hk,cc,index_threshold,gate_on,0.2478108288436201,0.511302583646549,0.0332216042131754,0.2088,-0.309059347628375,32.98360655737705,-1.6665389349669744,-0.2282024240439029,1.7908303297303358,-1.6310978577148243,-1.9143497638105944,8.576773609819616
tcn,index_hk,cc,index_threshold,gate_on,0.4973380196549758,0.5391299309067902,0.030494899011492,0.0152,-0.0578821283482663,3.672131147540984,0.2826422182957948,0.0173025017009229,0.0950349440421346,-0.0769548812716461,-0.214695801359181,6.2522989501404345
lgbm,index_hk,gap,index_threshold,gate_off,2.375899642292856,2.744045313226039,0.2780636066806469,0.26,-0.1035755729725366,39.34426229508197,-0.316999091803542,-0.0375874702971528,2.170190049171209,-0.6917192009768656,-2.6928987340963983,8.34688480450465
tcn,index_hk,gap,index_threshold,gate_off,-0.0636979410975464,-0.0016407926030987,-0.0033400108487556,0.0188,-0.1711241508165874,4.655737704918033,-0.3894442500667939,-0.0208757533487118,0.1249190766366398,-0.2397589791735239,-0.3257463089692475,6.644631735991479
lgbm,index_hk,gap,index_threshold,gate_on,1.5454818137751358,1.8661474411203336,0.1350589961888022,0.1704,-0.081000382290684,23.147540983606557,-0.7989005926178007,-0.0706597981436783,1.415325243480289,-0.8424183279743847,-2.3443824063929366,8.305899316198879
tcn,index_hk,gap,index_threshold,gate_on,-0.0761610430771149,-0.0207363845244956,-0.0038332325140061,0.016,-0.1542433750529253,4.19672131147541,-0.3607469724009485,-0.0184939563442561,0.1047206501632196,-0.2011853174320141,-0.2845859293238336,6.545040635201225
lgbm,index_hk,intraday,index_threshold,gate_off,-0.0044653475430547,0.3747078168173056,-0.0006786061293457,0.3356,-0.540035536404501,66.88524590163935,-2.622039688192868,-0.4055583143329685,2.785764900835416,-2.689754600199363,-2.6175743406498135,8.300848929783719
tcn,index_hk,intraday,index_threshold,gate_off,0.0640385159716091,0.1255723412045619,0.0030834101250601,0.0168,-0.096977003360836,5.639344262295082,-0.246537641542287,-0.011874038526667,0.1073163063249364,-0.1341052301611595,-0.3105761575138961,6.38787537648431
