config,year,n_days,pct_invested,annual_sharpe,ann_return,max_drawdown,mean_ic
lgbm_index_kr_gap_index_threshold_gate_off,2020,228,0.9254,1.8273,0.3388,-0.13,0.239
lgbm_index_kr_gap_index_threshold_gate_off,2021,248,0.4758,3.3624,0.1317,-0.014,0.2013
lgbm_index_kr_gap_index_threshold_gate_off,2022,244,0.9426,5.65,0.611,-0.0326,0.4376
lgbm_index_kr_gap_index_threshold_gate_off,2023,245,0.4,0.3645,0.0191,-0.0708,0.0896
lgbm_index_kr_gap_index_threshold_gate_off,2024,244,0.9057,3.9796,0.3886,-0.0511,0.2428
lgbm_index_kr_gap_index_threshold_gate_off,2025,242,0.9256,6.7388,0.8419,-0.0259,0.4848
lgbm_index_kr_gap_index_threshold_gate_off,2026,71,0.9718,3.9244,2.1977,-0.0386,0.4774
lgbm_index_kr_gap_index_threshold_gate_on,2020,228,0.7763,1.6698,0.2708,-0.1298,0.239
lgbm_index_kr_gap_index_threshold_gate_on,2021,248,0.4677,3.2984,0.1289,-0.014,0.2013
lgbm_index_kr_gap_index_threshold_gate_on,2022,244,0.0205,0.3998,0.0075,-0.0123,0.4376
lgbm_index_kr_gap_index_threshold_gate_on,2023,245,0.302,-0.1089,-0.005,-0.0639,0.0896
lgbm_index_kr_gap_index_threshold_gate_on,2024,244,0.8484,3.754,0.3624,-0.0511,0.2428
lgbm_index_kr_gap_index_threshold_gate_on,2025,242,0.8099,6.5188,0.6981,-0.0155,0.4848
lgbm_index_kr_gap_index_threshold_gate_on,2026,71,0.0423,1.1707,0.1158,-0.0027,0.4774
lgbm_index_hk_gap_index_threshold_gate_off,2020,228,0.7895,0.5083,0.0852,-0.1036,0.0595
lgbm_index_hk_gap_index_threshold_gate_off,2021,247,0.1215,0.5221,0.0136,-0.0126,0.127
lgbm_index_hk_gap_index_threshold_gate_off,2022,246,0.8618,3.8155,0.6342,-0.0661,0.3239
lgbm_index_hk_gap_index_threshold_gate_off,2023,243,0.3951,1.1934,0.0862,-0.0477,0.0144
lgbm_index_hk_gap_index_threshold_gate_off,2024,246,0.374,0.8464,0.0461,-0.0214,0.0642
lgbm_index_hk_gap_index_threshold_gate_off,2025,246,0.8211,4.5854,0.6622,-0.0198,0.3491
lgbm_index_hk_gap_index_threshold_gate_off,2026,69,0.7246,3.2993,0.7255,-0.0208,0.4729
lgbm_index_hk_gap_index_threshold_gate_on,2020,228,0.6535,0.679,0.1019,-0.081,0.0595
lgbm_index_hk_gap_index_threshold_gate_on,2021,247,0.1215,0.5221,0.0136,-0.0126,0.127
lgbm_index_hk_gap_index_threshold_gate_on,2022,246,0.0285,0.5517,0.0112,-0.0178,0.3239
lgbm_index_hk_gap_index_threshold_gate_on,2023,243,0.3292,0.9008,0.0612,-0.0477,0.0144
lgbm_index_hk_gap_index_threshold_gate_on,2024,246,0.3415,0.3842,0.0178,-0.0214,0.0642
lgbm_index_hk_gap_index_threshold_gate_on,2025,246,0.7154,4.442,0.6333,-0.0198,0.3491
lgbm_index_hk_gap_index_threshold_gate_on,2026,69,0.0145,1.0,0.0232,0.0,0.4729
