universe,model,target,strategy,gate,gross_pnl,spread_cost,impact_cost,borrow_cost,residual,net_pnl,source
main_hk,lgbm,gap,tercile_ls,gate_on,1.6484691694790297,2.1936005952380953,0.4315552129466424,0.2176587301587301,-3.3306690738754696e-16,-1.194345368864438,pass2
main_hk,lgbm,gap,tercile_lo,gate_on,0.8770531450323058,4.3872011904761905,0.8631104258932849,0.0,-8.881784197001252e-16,-4.37325847133717,pass2
main_hk,lgbm,gap,tercile_ls,gate_off,2.420199596822525,3.0644589285714288,0.6131762712370584,0.3023809523809524,7.771561172376097e-16,-1.5598165553669145,pass2
main_hk,lgbm,gap,tercile_lo,gate_off,1.1709790057102831,6.1289178571428575,1.2263525424741168,0.0,-6.661338147750939e-16,-6.184291393906691,pass2
main_hk,lgbm,intraday,tercile_ls,gate_on,0.7928341032532162,3.0621898809523804,0.5781462505168786,0.2176587301587301,-1.2212453270876722e-15,-3.065160758374773,pass2
main_hk,lgbm,intraday,tercile_lo,gate_on,0.5098108392121878,6.124379761904761,1.1562925010337572,0.0,-1.7763568394002505e-15,-6.7708614237263305,pass2
main_hk,lgbm,intraday,tercile_ls,gate_off,0.5345503182274086,4.267531547619047,0.8153004048155776,0.3023809523809524,-1.1102230246251563e-15,-4.850662586588168,pass2
main_hk,lgbm,intraday,tercile_lo,gate_off,0.3210496585990995,8.535063095238094,1.6306008096311553,0.0,-8.881784197001252e-16,-9.844614246270151,pass2
main_hk,lgbm,cc,tercile_ls,gate_on,1.528014097154943,2.258667857142857,0.4414694318756234,0.2176587301587301,1.6653345369377348e-16,-1.3897819220222676,pass2
main_hk,lgbm,cc,tercile_lo,gate_on,0.710923675431911,4.517335714285714,0.8829388637512469,0.0,-7.771561172376097e-16,-4.68935090260505,pass2
main_hk,lgbm,cc,tercile_ls,gate_off,1.7076884031836586,3.2241220238095236,0.6631298155418477,0.3023809523809524,0.0,-2.4819443885486647,pass2
main_hk,lgbm,cc,tercile_lo,gate_off,0.6958217132049331,6.448244047619047,1.3262596310836954,0.0,-1.3322676295501878e-15,-7.078681965497809,pass2
main_kr,lgbm,gap,tercile_ls,gate_on,2.0380658304736654,1.6393777777777778,0.5240667463449022,0.1747619047619047,-3.6082248300317592e-16,-0.30014059841091933,pass2
main_kr,lgbm,gap,tercile_lo,gate_on,1.1356780493645973,3.2787555555555556,1.0481334926898045,0.0,0.0,-3.191210998880763,pass2
main_kr,lgbm,gap,tercile_ls,gate_off,2.869952008310807,2.3128111111111114,0.7726140630092676,0.2417460317460317,-1.6653345369377348e-16,-0.4572191975556035,pass2
main_kr,lgbm,gap,tercile_lo,gate_off,1.550442246515103,4.625622222222223,1.5452281260185352,0.0,-6.661338147750939e-16,-4.620408101725655,pass2
main_kr,lgbm,intraday,tercile_ls,gate_on,0.5704409012295331,1.7656111111111117,0.5470620329411867,0.1747619047619047,-2.7755575615628914e-17,-1.9169941475846701,pass2
main_kr,lgbm,intraday,tercile_lo,gate_on,0.076551358769915,3.531222222222223,1.0941240658823734,0.0,-2.220446049250313e-16,-4.548794929334681,pass2
main_kr,lgbm,intraday,tercile_ls,gate_off,1.304176981305642,2.414300000000001,0.7849463608715093,0.2417460317460317,1.6653345369377348e-16,-2.1368154113118996,pass2
main_kr,lgbm,intraday,tercile_lo,gate_off,0.3340543714565587,4.828600000000002,1.5698927217430183,0.0,8.881784197001252e-16,-6.064438350286461,pass2
