market,target,fold_pair_label,top10_overlap_pct,rank_corr
HK,gap,0_vs_1,80.0,0.7449
HK,gap,1_vs_2,70.0,0.2492
HK,gap,2_vs_3,90.0,0.7926
HK,gap,3_vs_4,70.0,0.6845
HK,gap,4_vs_5,100.0,0.9187
HK,gap,5_vs_6,70.0,0.7817
HK,gap,6_vs_7,90.0,0.9422
HK,gap,7_vs_8,90.0,0.8747
HK,gap,8_vs_9,90.0,0.9597
HK,gap,9_vs_10,90.0,0.9653
HK,gap,10_vs_11,70.0,0.6778
HK,gap,11_vs_12,80.0,0.8169
HK,gap,12_vs_13,70.0,0.7364
HK,gap,13_vs_14,90.0,0.6519
HK,gap,14_vs_15,80.0,0.6701
HK,gap,15_vs_16,80.0,0.5286
HK,gap,16_vs_17,80.0,0.7948
HK,gap,17_vs_18,70.0,0.6987
HK,gap,18_vs_19,80.0,0.7377
HK,gap,19_vs_20,80.0,0.5753
HK,gap,20_vs_21,80.0,0.7442
HK,gap,21_vs_22,80.0,0.6416
HK,gap,22_vs_23,60.0,0.5195
HK,gap,23_vs_24,90.0,0.8844
HK,gap,24_vs_25,70.0,0.7494
HK,gap,25_vs_26,70.0,0.5662
HK,gap,26_vs_27,80.0,0.6961
HK,gap,27_vs_28,70.0,0.687
HK,gap,28_vs_29,50.0,0.5481
HK,gap,29_vs_30,90.0,0.6442
HK,gap,30_vs_31,90.0,0.8078
HK,gap,31_vs_32,70.0,0.6078
HK,gap,32_vs_33,80.0,0.726
HK,gap,33_vs_34,70.0,0.6312
HK,gap,34_vs_35,70.0,0.661
HK,gap,35_vs_36,80.0,0.8909
HK,gap,36_vs_37,80.0,0.7558
HK,gap,37_vs_38,70.0,0.7844
HK,gap,38_vs_39,90.0,0.9078
HK,gap,39_vs_40,90.0,0.9545
HK,gap,40_vs_41,90.0,0.9701
HK,gap,41_vs_42,80.0,0.8195
HK,gap,42_vs_43,70.0,0.7831
HK,gap,43_vs_44,80.0,0.8623
HK,gap,44_vs_45,80.0,0.7701
HK,gap,45_vs_46,90.0,0.8623
HK,gap,46_vs_47,90.0,0.8156
HK,gap,47_vs_48,90.0,0.8857
HK,gap,48_vs_49,90.0,0.7922
HK,gap,49_vs_50,70.0,0.7429
HK,gap,50_vs_51,80.0,0.8455
HK,gap,51_vs_52,80.0,0.7221
HK,gap,52_vs_53,90.0,0.7883
HK,gap,53_vs_54,70.0,0.7545
HK,gap,54_vs_55,90.0,0.8818
HK,gap,55_vs_56,60.0,0.6727
HK,gap,56_vs_57,60.0,0.6351
HK,gap,57_vs_58,80.0,0.839
HK,gap,58_vs_59,80.0,0.8286
HK,gap,59_vs_60,90.0,0.9208
HK,gap,60_vs_61,70.0,0.8455
HK,gap,61_vs_62,80.0,0.8091
HK,gap,62_vs_63,80.0,0.8779
HK,gap,63_vs_64,80.0,0.9013
HK,gap,64_vs_65,80.0,0.8584
HK,gap,65_vs_66,90.0,0.9455
HK,gap,66_vs_67,80.0,0.9208
HK,gap,67_vs_68,80.0,0.9455
HK,gap,68_vs_69,90.0,0.8857
HK,gap,69_vs_70,90.0,0.9143
HK,gap,70_vs_71,70.0,0.7649
HK,gap,71_vs_72,70.0,0.6403
HK,gap,72_vs_73,70.0,0.761
HK,gap,73_vs_74,80.0,0.7532
HK,intraday,0_vs_1,60.0,0.2325
HK,intraday,1_vs_2,70.0,0.5364
HK,intraday,2_vs_3,50.0,0.2714
HK,intraday,3_vs_4,40.0,0.1961
HK,intraday,4_vs_5,70.0,0.5831
HK,intraday,5_vs_6,70.0,0.439
HK,intraday,6_vs_7,50.0,0.0584
HK,intraday,7_vs_8,70.0,0.5701
HK,intraday,8_vs_9,70.0,0.3831
HK,intraday,9_vs_10,60.0,0.3779
HK,intraday,10_vs_11,50.0,0.339
HK,intraday,11_vs_12,60.0,0.6052
HK,intraday,12_vs_13,70.0,0.5714
HK,intraday,13_vs_14,50.0,0.3571
HK,intraday,14_vs_15,70.0,0.4662
HK,intraday,15_vs_16,70.0,0.2831
HK,intraday,16_vs_17,80.0,0.5455
HK,intraday,17_vs_18,60.0,0.1558
HK,intraday,18_vs_19,50.0,0.2468
HK,intraday,19_vs_20,70.0,0.5065
HK,intraday,20_vs_21,70.0,0.5883
HK,intraday,21_vs_22,60.0,0.2883
HK,intraday,22_vs_23,50.0,0.2506
HK,intraday,23_vs_24,60.0,0.4221
HK,intraday,24_vs_25,60.0,0.4416
HK,intraday,25_vs_26,90.0,0.7714
HK,intraday,26_vs_27,40.0,-0.1052
HK,intraday,27_vs_28,70.0,0.5805
HK,intraday,28_vs_29,50.0,0.361
HK,intraday,29_vs_30,50.0,0.2078
HK,intraday,30_vs_31,80.0,0.6805
HK,intraday,31_vs_32,30.0,0.0494
HK,intraday,32_vs_33,60.0,0.3558
