fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
0,2020-02-03,265,20,0.01884535524058861,-0.3684210526315789,0.4,0.5445143580436707,6,OVERFIT_FLAG
1,2020-03-02,285,22,-0.047923610859118636,-0.0220214568040655,0.5909090909090909,0.9112123250961304,6,
2,2020-04-01,307,19,0.07026565438138536,0.30350877192982456,0.42105263157894735,0.39078953862190247,6,
3,2020-05-04,326,20,0.1197343389429842,-0.28721804511278193,0.4,1.1893469095230103,10,OVERFIT_FLAG
4,2020-06-01,346,21,0.12139307734482112,0.2350649350649351,0.47619047619047616,0.7780723571777344,7,
5,2020-07-02,367,22,0.12789254633414968,-0.19367588932806323,0.45454545454545453,0.9662274122238159,12,OVERFIT_FLAG
6,2020-08-03,389,21,0.19038792813472802,-0.06753246753246753,0.5238095238095238,1.4552724361419678,15,OVERFIT_FLAG
7,2020-09-01,410,22,0.06420998427320486,-0.14059853190287974,0.45454545454545453,0.9140173196792603,6,OVERFIT_FLAG
8,2020-10-05,432,18,0.14456983091878042,0.05675954592363261,0.3888888888888889,1.469881534576416,9,
9,2020-11-02,450,21,0.18830203276724003,-0.16103896103896104,0.47619047619047616,1.045582890510559,14,OVERFIT_FLAG
10,2020-12-01,471,22,0.12386697476347218,-0.23433088650479958,0.45454545454545453,0.7972807884216309,8,OVERFIT_FLAG
11,2021-01-04,493,20,0.011909399710892757,0.4766917293233082,0.4,0.9339771270751953,6,
12,2021-02-01,513,18,0.21784594582679143,-0.3065015479876161,0.3888888888888889,0.5999405980110168,15,OVERFIT_FLAG
13,2021-03-01,531,23,0.17748496601272928,0.25395256916996045,0.6086956521739131,1.0079118013381958,15,
14,2021-04-01,554,19,0.0025461841026434553,-0.13684210526315788,0.3684210526315789,0.48550719022750854,6,
15,2021-05-03,573,20,0.1777111918856268,-0.06466165413533834,0.4,0.9326208233833313,10,OVERFIT_FLAG
16,2021-06-01,593,21,0.10086237931937765,-0.2909090909090909,0.5238095238095238,1.255704402923584,8,OVERFIT_FLAG
17,2021-07-02,614,21,0.03371496861452771,0.34935064935064936,0.6190476190476191,1.560065746307373,6,
18,2021-08-02,635,22,0.1272841839654276,0.17334839073969513,0.5454545454545454,0.6661328673362732,8,
19,2021-09-01,657,21,0.20723625304704563,0.12727272727272726,0.6190476190476191,1.088963508605957,15,
20,2021-10-04,678,18,0.038887880006728,0.5190918472652218,0.5555555555555556,0.772797167301178,6,
21,2021-11-01,696,22,0.1345193829599656,0.18351214003387917,0.6818181818181818,0.9262006878852844,7,
22,2021-12-01,718,22,0.20608208154590793,0.28514963297572,0.6363636363636364,0.9242780208587646,15,
23,2022-01-03,740,21,0.18185317397624212,0.22597402597402597,0.47619047619047616,0.9801338911056519,10,
24,2022-02-04,761,17,0.08249985160320274,-0.502450980392157,0.5882352941176471,1.0976274013519287,6,OVERFIT_FLAG
25,2022-03-01,778,23,0.17961617877468072,0.21047430830039524,0.5652173913043478,1.1276476383209229,14,
26,2022-04-01,801,18,0.20592556530023254,-0.05882352941176471,0.3333333333333333,0.9547737240791321,15,OVERFIT_FLAG
27,2022-05-03,819,20,0.13740951437295884,0.06766917293233082,0.45,0.9249312877655029,7,
28,2022-06-01,839,21,0.1891467241983967,-0.3246753246753247,0.38095238095238093,0.7472692728042603,11,OVERFIT_FLAG
29,2022-07-04,860,20,0.1694184060834726,0.10827067669172932,0.65,1.00895357131958,15,
30,2022-08-01,880,23,0.17417819848330474,0.06719367588932806,0.391304347826087,0.5379746556282043,10,
31,2022-09-01,903,21,0.18223679703006476,0.525974025974026,0.7619047619047619,0.9747530221939087,13,
32,2022-10-03,924,20,0.17650119959979116,-0.11127819548872178,0.7,1.0154447555541992,8,OVERFIT_FLAG
33,2022-11-01,944,22,0.21017197360098666,0.2783738001129306,0.5909090909090909,0.8875807523727417,14,
34,2022-12-01,966,20,0.20901398052176626,-0.1518796992481203,0.45,0.6981866359710693,10,OVERFIT_FLAG
35,2023-01-03,986,18,0.22844215668174908,0.4282765737874097,0.5555555555555556,0.8189797401428223,15,
36,2023-02-01,1004,20,0.09515117607278062,-0.02857142857142857,0.4,0.725668728351593,6,
37,2023-03-01,1024,23,0.21046271502396108,0.03557312252964427,0.6086956521739131,0.9859365224838257,13,
38,2023-04-03,1047,17,0.062019769364247995,0.03921568627450981,0.5294117647058824,0.9722923040390015,6,
39,2023-05-02,1064,21,0.19186078495033176,0.059740259740259746,0.5714285714285714,0.8681862354278564,14,
40,2023-06-01,1085,21,0.21331018491334186,-0.04675324675324675,0.47619047619047616,1.0551233291625977,9,OVERFIT_FLAG
41,2023-07-03,1106,20,0.17835196300953707,-0.29774436090225564,0.35,1.193491816520691,9,OVERFIT_FLAG
42,2023-08-01,1126,23,0.15949982322066208,0.004940711462450594,0.43478260869565216,0.7047701478004456,10,
43,2023-09-01,1149,19,0.17901833846679607,-0.0035087719298245615,0.5789473684210527,0.9424312114715576,13,
44,2023-10-03,1168,20,0.12100173957218398,0.09624060150375939,0.5,0.68086177110672,7,
45,2023-11-01,1188,22,0.15459547567405119,-0.051383399209486175,0.6363636363636364,0.7446741461753845,8,OVERFIT_FLAG
46,2023-12-01,1210,19,0.13852880122098504,0.02982456140350877,0.5263157894736842,0.9003379940986633,10,
47,2024-01-02,1229,22,0.09849320818236078,0.02992659514398645,0.7272727272727273,1.0538626909255981,7,
48,2024-02-01,1251,19,0.20046570896637325,-0.28596491228070176,0.42105263157894735,0.9190510511398315,14,OVERFIT_FLAG
49,2024-03-01,1270,20,0.18447752411851476,0.21353383458646616,0.45,0.9187954664230347,14,
50,2024-04-02,1290,20,0.1712646959720098,0.431578947368421,0.45,0.5558785647153854,11,
51,2024-05-02,1310,21,0.18183954662413848,-0.44935064935064933,0.3333333333333333,1.0021839439868927,15,OVERFIT_FLAG
52,2024-06-03,1331,19,0.11323858105067325,0.3017543859649123,0.5789473684210527,0.6395292580127716,7,
53,2024-07-02,1350,22,0.12290239330111505,-0.02992659514398645,0.45454545454545453,0.787773460149765,8,
54,2024-08-01,1372,22,0.05207425271405832,0.4138904573687183,0.5,0.6844975054264069,6,
55,2024-09-02,1394,19,0.13979729677573738,0.4298245614035088,0.7368421052631579,0.6438185125589371,11,
56,2024-10-02,1413,21,0.18659153714993612,-0.2558441558441559,0.5714285714285714,0.7631992697715759,11,OVERFIT_FLAG
57,2024-11-01,1434,21,0.18218564189964065,0.13766233766233765,0.42857142857142855,1.031293660402298,11,
58,2024-12-02,1455,20,0.01677838285029255,-0.07669172932330826,0.45,2.1534396409988403,6,
59,2025-01-02,1475,19,0.03412187811365959,-0.26491228070175443,0.3684210526315789,0.8400770425796509,6,OVERFIT_FLAG
60,2025-02-03,1494,20,0.20779174060935607,0.23759398496240602,0.6,1.2444417178630829,15,
61,2025-03-03,1514,21,0.07164823522962908,-0.2909090909090909,0.3333333333333333,1.0484124422073364,6,OVERFIT_FLAG
62,2025-04-01,1535,19,0.023576919228221128,-0.2456140350877193,0.3157894736842105,0.9338299632072449,6,OVERFIT_FLAG
63,2025-05-02,1554,20,0.12006361815319894,0.02857142857142857,0.35,0.8572138845920563,8,
64,2025-06-02,1574,21,0.07002499021905283,0.14675324675324675,0.47619047619047616,0.6092466711997986,7,
65,2025-07-02,1595,22,0.1758431893896784,0.07284020327498589,0.5,0.9281600117683411,14,
66,2025-08-01,1617,21,0.14966270125410666,-0.051948051948051945,0.42857142857142855,0.8038226664066315,11,OVERFIT_FLAG
67,2025-09-01,1638,22,0.16821977239421163,-0.22868435911914178,0.5,1.0635100603103638,14,OVERFIT_FLAG
68,2025-10-02,1660,20,0.17519290811530944,0.27669172932330827,0.65,0.6391085386276245,15,
69,2025-11-03,1680,20,0.1835722376602316,0.4616541353383458,0.6,0.8864483535289764,15,
70,2025-12-01,1700,21,0.18110535719094384,-0.13896103896103898,0.5714285714285714,1.0687990188598633,15,OVERFIT_FLAG
71,2026-01-02,1721,21,0.12384961698275629,0.025974025974025972,0.38095238095238093,1.1534326076507568,8,
72,2026-02-02,1742,17,0.15826154247749794,0.41421568627450983,0.5882352941176471,1.3627523481845856,10,
73,2026-03-02,1759,22,0.14082298394657358,0.3935629587803502,0.5454545454545454,0.7379017174243927,9,
74,2026-04-01,1781,9,0.0782246673987837,0.09999999999999999,0.2222222222222222,1.1340844631195068,6,
