fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
0,2020-02-03,265,20,0.2592359973690659,-0.18646616541353384,0.45,1.1881868839263916,15,OVERFIT_FLAG
1,2020-03-02,285,22,0.08860539016209883,-0.11914172783738003,0.5,1.2119994163513184,7,OVERFIT_FLAG
2,2020-04-01,307,20,0.1354180404764808,0.20150375939849624,0.65,0.2879500687122345,8,
3,2020-05-04,327,19,-0.03888340538158576,0.09473684210526316,0.3684210526315789,0.43177780508995056,6,
4,2020-06-01,346,22,0.16922894185830076,0.02428006775832863,0.3181818181818182,1.7223798036575317,7,
5,2020-07-01,368,23,-0.007261546670673437,0.14624505928853757,0.4782608695652174,0.7285645604133606,7,
6,2020-08-03,391,20,0.18780348259705223,0.5022556390977443,0.5,1.442358136177063,15,
7,2020-09-01,411,21,-0.05103301178288517,-0.3,0.6666666666666666,1.9270312786102295,6,OVERFIT_FLAG
8,2020-10-05,432,19,0.26232966997636953,-0.010526315789473684,0.5263157894736842,1.3344988822937012,15,OVERFIT_FLAG
9,2020-11-02,451,21,0.2202545637684856,0.07272727272727272,0.38095238095238093,1.0343616008758545,15,
10,2020-12-01,472,21,-0.06918303948122506,-0.36883116883116884,0.42857142857142855,0.4060125946998596,6,OVERFIT_FLAG
11,2021-01-04,493,20,0.14832219053316992,-0.0781954887218045,0.45,1.4168903827667236,7,OVERFIT_FLAG
12,2021-02-01,513,18,0.24649417906796828,-0.09391124871001032,0.5,0.5222446322441101,15,OVERFIT_FLAG
13,2021-03-02,531,22,0.24805185333015942,-0.033314511575381144,0.2727272727272727,1.038191795349121,15,OVERFIT_FLAG
14,2021-04-01,553,22,-0.04080658487841749,-0.014116318464144554,0.7272727272727273,0.5791097283363342,6,
15,2021-05-03,575,19,0.22891380093925162,-0.28947368421052627,0.42105263157894735,0.8767464756965637,15,OVERFIT_FLAG
16,2021-06-01,594,22,0.22200811235629203,0.19141727837380013,0.5909090909090909,0.92540442943573,15,
17,2021-07-01,616,22,0.03840740830107158,-0.07848673066064371,0.45454545454545453,0.8397824764251709,7,
18,2021-08-02,638,21,0.20183315840014657,0.22207792207792207,0.5238095238095238,0.831531286239624,15,
19,2021-09-01,659,19,0.11395803047564258,0.2210526315789474,0.47368421052631576,0.8172667026519775,8,
20,2021-10-01,678,19,0.1736216294803697,0.5666666666666667,0.6842105263157895,0.6621437072753906,11,
21,2021-11-01,697,22,0.07030692607965854,-0.30999435347261434,0.3181818181818182,1.2848316431045532,6,OVERFIT_FLAG
22,2021-12-01,719,22,0.23730236981880592,0.34161490683229817,0.5,1.8015921115875244,15,
23,2022-01-03,741,19,0.15236669715319173,0.14385964912280702,0.7894736842105263,0.5453535914421082,10,
24,2022-02-03,760,18,0.10107877610591431,-0.7316821465428276,0.3888888888888889,1.0145468711853027,6,OVERFIT_FLAG
25,2022-03-02,778,21,0.20434186244614883,-0.18961038961038962,0.5238095238095238,1.148209571838379,12,OVERFIT_FLAG
26,2022-04-01,799,21,0.20364828686233732,-0.44675324675324674,0.38095238095238093,0.8936852812767029,13,OVERFIT_FLAG
27,2022-05-02,820,20,0.16998193472451514,0.3398496240601503,0.8,0.6968350410461426,8,
28,2022-06-02,840,20,0.24981542531340642,0.38796992481203,0.7,1.4139341115951538,15,
