fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
0,2020-02-03,265,20,0.16492023368885336,-0.08571428571428572,0.45,0.6386803984642029,12,OVERFIT_FLAG
1,2020-03-02,285,22,0.009445484093371417,-0.30660643704121965,0.5,1.0459089279174805,9,OVERFIT_FLAG
2,2020-04-01,307,20,-0.041991922620395514,-0.0015037593984962405,0.6,0.25106728076934814,7,
3,2020-05-04,327,19,0.01604680917074269,0.05964912280701754,0.3684210526315789,0.45297789573669434,6,
4,2020-06-01,346,22,0.029781859082952073,-0.09316770186335405,0.4090909090909091,3.043936014175415,6,
5,2020-07-01,368,23,0.11286375154949276,0.20355731225296442,0.5217391304347826,0.4147838056087494,8,
6,2020-08-03,391,20,-0.016652748055744036,0.2421052631578947,0.55,3.092665672302246,7,
7,2020-09-01,411,21,0.058679701530202175,-0.1,0.5238095238095238,1.5354490280151367,6,
8,2020-10-05,432,19,0.14889107987761424,-0.13508771929824562,0.5789473684210527,2.6133995056152344,13,OVERFIT_FLAG
9,2020-11-02,451,21,0.1262667687014762,-0.0987012987012987,0.42857142857142855,0.605096161365509,15,OVERFIT_FLAG
10,2020-12-01,472,21,0.11167391967725378,-0.14025974025974028,0.38095238095238093,0.4020819365978241,6,OVERFIT_FLAG
11,2021-01-04,493,20,0.07280749491598684,-0.05864661654135337,0.6,2.429922342300415,7,
12,2021-02-01,513,18,0.07085559025644528,-0.06914344685242517,0.4444444444444444,0.6292251348495483,7,
13,2021-03-02,531,22,0.15050778529310163,-0.12704686617730096,0.5,0.7002601027488708,15,OVERFIT_FLAG
14,2021-04-01,553,22,0.06988670407812526,-0.010728402032749858,0.6363636363636364,0.5056464076042175,8,
15,2021-05-03,575,19,0.08133464754921363,-0.07192982456140351,0.47368421052631576,0.9805319905281067,9,
16,2021-06-01,594,22,0.1319167270362588,0.21174477696216829,0.45454545454545453,0.7151584029197693,15,
17,2021-07-01,616,22,0.05051807898785801,0.05815923207227556,0.5454545454545454,0.9610615372657776,7,
18,2021-08-02,638,21,0.038712022268533756,0.04025974025974026,0.42857142857142855,0.7524086236953735,7,
19,2021-09-01,659,19,0.01950148453554646,0.27543859649122804,0.7368421052631579,0.6543566584587097,6,
20,2021-10-01,678,19,0.07853952220517336,0.5614035087719299,0.5789473684210527,0.5920394062995911,7,
21,2021-11-01,697,22,0.06920150681772079,0.10220214568040656,0.5909090909090909,1.0713114738464355,6,
22,2021-12-01,719,22,-0.029326039596416668,-0.13382269904009036,0.5454545454545454,1.1588047742843628,6,
23,2022-01-03,741,19,0.1879046260376946,-0.019298245614035085,0.7894736842105263,0.7271174192428589,14,OVERFIT_FLAG
24,2022-02-03,760,18,0.0857305664893537,-0.11248710010319916,0.5555555555555556,0.8472657799720764,6,
25,2022-03-02,778,21,0.11097717757102442,0.04675324675324675,0.5238095238095238,0.7374380826950073,8,
26,2022-04-01,799,21,0.15726067358634382,-0.2038961038961039,0.47619047619047616,0.8201695084571838,11,OVERFIT_FLAG
27,2022-05-02,820,20,0.08431748875585957,0.07669172932330826,0.6,0.6970773935317993,7,
28,2022-06-02,840,20,0.16680127705072467,0.06466165413533834,0.6,1.1100144386291504,13,
29,2022-07-01,860,21,0.13176055774032422,-0.08571428571428572,0.5714285714285714,0.8756905198097229,9,OVERFIT_FLAG
30,2022-08-01,881,22,0.14303375668707272,0.5798983625070583,0.6818181818181818,1.8836448192596436,8,
31,2022-09-01,903,20,0.1924183742710088,0.4992481203007519,0.6,0.9170156717300415,15,
32,2022-10-04,923,19,0.025174452811860773,-0.12982456140350876,0.47368421052631576,1.0291459560394287,6,
33,2022-11-01,942,22,0.18272244856658273,0.5098814229249012,0.6363636363636364,1.7771002054214478,11,
34,2022-12-01,964,21,0.22008525670611093,0.2155844155844156,0.6666666666666666,0.8072938919067383,12,
35,2023-01-02,985,20,0.21212675111584472,-0.015037593984962403,0.45,2.010472297668457,13,OVERFIT_FLAG
36,2023-02-01,1005,20,0.2062228756260676,0.42556390977443603,0.55,2.1704318523406982,9,
37,2023-03-02,1025,22,0.16790239222293538,-0.044607566346696784,0.45454545454545453,0.5428287386894226,9,OVERFIT_FLAG
38,2023-04-03,1047,20,0.20775099591038232,0.24060150375939846,0.6,1.0947916507720947,15,
39,2023-05-02,1067,20,0.188618173970749,-0.39097744360902253,0.3,0.8788170218467712,14,OVERFIT_FLAG
40,2023-06-01,1087,21,0.16607100706221994,-0.07792207792207792,0.5238095238095238,0.7622637152671814,8,OVERFIT_FLAG
41,2023-07-03,1108,21,0.16533493412071298,-0.1909090909090909,0.3333333333333333,0.6694797873497009,9,OVERFIT_FLAG
42,2023-08-01,1129,22,0.18337683925218964,0.04686617730095992,0.5454545454545454,0.890032947063446,12,
43,2023-09-01,1151,19,0.11820545933592717,0.06842105263157894,0.42105263157894735,0.5458492040634155,6,
44,2023-10-04,1170,19,0.13426755595330486,0.32280701754385965,0.7368421052631579,2.0156917572021484,7,
45,2023-11-01,1189,22,0.15838598150476646,-0.4929418407679278,0.5454545454545454,0.8918213844299316,11,OVERFIT_FLAG
46,2023-12-01,1211,19,0.18646747341200598,0.47017543859649114,0.631578947368421,0.7290430665016174,14,
47,2024-01-02,1230,22,0.17497941401759465,-0.2049689440993789,0.5,0.5441976189613342,13,OVERFIT_FLAG
48,2024-02-01,1252,19,0.1645257685521161,0.10526315789473684,0.47368421052631576,2.0124170780181885,11,
49,2024-03-04,1271,20,0.19695834099445464,-0.3278195488721804,0.3,1.0301989316940308,14,OVERFIT_FLAG
50,2024-04-01,1291,21,0.16846869159980882,0.43506493506493504,0.6190476190476191,0.34462556056678295,15,
51,2024-05-02,1312,20,0.06768196402460172,0.30075187969924805,0.6,1.1209145486354828,7,
52,2024-06-03,1332,19,0.05806959181873157,0.4912280701754386,0.42105263157894735,1.2478879690170288,7,
53,2024-07-01,1351,23,0.10502229580348352,0.3142292490118577,0.5652173913043478,0.5517081320285797,6,
54,2024-08-01,1374,21,0.16263209686499142,-0.00909090909090909,0.3333333333333333,0.978985071182251,12,
55,2024-09-02,1395,18,0.15920254539180834,0.1847265221878225,0.5555555555555556,1.5353623926639557,12,
56,2024-10-02,1413,20,0.1521100167038549,-0.021052631578947364,0.5,0.6562696248292923,12,
57,2024-11-01,1433,21,0.12785801343372974,-0.09480519480519481,0.5238095238095238,0.7640146613121033,8,OVERFIT_FLAG
58,2024-12-02,1454,20,0.1152295272677578,-0.16842105263157892,0.5,1.0894189774990082,8,OVERFIT_FLAG
59,2025-01-02,1474,18,0.0654582326088794,-0.4592363261093911,0.4444444444444444,1.2470421493053436,7,OVERFIT_FLAG
60,2025-02-03,1492,20,0.1631498507331344,-0.23458646616541348,0.4,1.5455863773822784,10,OVERFIT_FLAG
61,2025-03-04,1512,20,0.12549447594018154,-0.5578947368421052,0.1,0.8181047737598419,9,OVERFIT_FLAG
62,2025-04-01,1532,22,0.08043918960097741,-0.05477131564088086,0.36363636363636365,1.7691695988178253,7,
63,2025-05-02,1554,19,0.11572149238833172,0.2543859649122807,0.631578947368421,0.9653785824775696,8,
64,2025-06-02,1573,19,0.14486775749018854,0.14385964912280702,0.5789473684210527,1.0030303597450256,15,
65,2025-07-01,1592,23,0.17263058217446084,0.18972332015810275,0.6086956521739131,1.0220379829406738,13,
66,2025-08-01,1615,20,0.12769803470675098,-0.11578947368421053,0.4,1.2475655376911163,9,OVERFIT_FLAG
67,2025-09-01,1635,22,0.1476298544363103,0.18802936194240544,0.5,0.6494312286376953,15,
68,2025-10-01,1657,18,0.12080010705560026,0.07120743034055728,0.2222222222222222,0.8897605538368225,9,
69,2025-11-03,1675,20,0.1567675060149553,0.10827067669172932,0.55,0.8853980600833893,13,
70,2025-12-01,1695,21,0.1251155060134816,0.2961038961038961,0.8571428571428571,0.6255694329738617,9,
71,2026-01-02,1716,21,0.12059120922615069,-0.16233766233766234,0.38095238095238093,0.6743156313896179,9,OVERFIT_FLAG
