fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
0,2020-02-03,4074,339,0.32351947017078125,0.0036125508420843003,0.4749262536873156,1.0260149389505386,15,OVERFIT_FLAG
1,2020-03-02,4413,353,0.2997385449535773,0.1793806196675212,0.46458923512747874,0.8224716782569885,15,
2,2020-04-01,4766,322,0.33846743297113957,0.299833759029937,0.6366459627329193,0.9120387136936188,15,
3,2020-05-04,5088,321,0.313395943519024,0.05089236793076526,0.5233644859813084,1.0179692804813385,15,OVERFIT_FLAG
4,2020-06-01,5409,336,0.3307741551950323,0.21884738146749674,0.6190476190476191,0.8229342579841614,15,
5,2020-07-02,5745,352,0.30272494997838695,0.2902341711159245,0.5625,0.8602088332176209,15,
6,2020-08-03,6097,356,0.34276865711707555,-0.04084765295488146,0.3960674157303371,0.7930257201194764,15,OVERFIT_FLAG
7,2020-09-01,6453,437,0.3280574668915965,0.09291932610977094,0.5537757437070938,0.8985881209373474,15,OVERFIT_FLAG
8,2020-10-05,6890,343,0.33582374514000063,0.035911155340417535,0.5510204081632653,0.8277542094389597,15,OVERFIT_FLAG
9,2020-11-02,7233,379,0.3311451715057501,-0.06132899460394219,0.47493403693931396,0.9212342898050944,15,OVERFIT_FLAG
10,2020-12-01,7612,417,0.3219071372109781,0.11748593866928517,0.513189448441247,0.8398641447226206,15,OVERFIT_FLAG
11,2021-01-04,8029,399,0.3423054304294121,0.13749955132773434,0.531328320802005,0.9272610970905849,15,OVERFIT_FLAG
12,2021-02-01,8428,394,0.3156566189548846,-0.21654306342104354,0.4035532994923858,0.957457891532353,15,OVERFIT_FLAG
13,2021-03-01,8822,528,0.354182213668027,-0.17226984363995565,0.3409090909090909,0.8997384224619184,15,OVERFIT_FLAG
14,2021-04-01,9350,455,0.33677928783734146,-0.21576203369312333,0.47912087912087914,0.8288699984550476,15,OVERFIT_FLAG
15,2021-05-03,9805,518,0.33634090584263177,-0.11386159455242052,0.42084942084942084,0.7797684296965599,15,OVERFIT_FLAG
16,2021-06-01,10323,546,0.32168511062827804,0.2400185240887481,0.5695970695970696,0.7518406311670939,15,
17,2021-07-02,10869,586,0.32188576710420497,0.041096775118396156,0.5341296928327645,0.8680066267649332,15,OVERFIT_FLAG
18,2021-08-02,11455,616,0.35411143931886774,-0.004073102638401295,0.547077922077922,1.0082663430107965,15,OVERFIT_FLAG
19,2021-09-01,12071,588,0.305041289442105,0.16903635394618527,0.5391156462585034,0.8622167944908142,15,
20,2021-10-04,12659,487,0.3361794708803495,0.22095961856174964,0.6673511293634496,0.8466289818286896,15,
21,2021-11-01,13146,572,0.34821756017196026,-0.10408432597709126,0.4405594405594406,0.9612677964297208,15,OVERFIT_FLAG
22,2021-12-01,13718,593,0.32695378274354225,0.05708007780893742,0.4671163575042159,0.9458769505674188,15,OVERFIT_FLAG
23,2022-01-03,14311,527,0.34593729328437806,0.1331651060829681,0.523719165085389,0.8042060633500417,15,OVERFIT_FLAG
24,2022-02-04,14838,425,0.3298608649347993,0.013493442219581707,0.48470588235294115,0.9227272768815359,15,OVERFIT_FLAG
25,2022-03-01,15263,575,0.30931010759923216,-0.1581288703542414,0.4782608695652174,0.8513496120770773,15,OVERFIT_FLAG
26,2022-04-01,15838,450,0.34028382062684825,-0.2188025735230945,0.37555555555555553,0.9191128978362451,15,OVERFIT_FLAG
27,2022-05-03,16288,481,0.34861940486093523,-0.2782953960751165,0.367983367983368,0.906008454469534,15,OVERFIT_FLAG
28,2022-06-01,16769,524,0.3375990737036036,0.07065757804271436,0.4732824427480916,1.1598400132996696,15,OVERFIT_FLAG
29,2022-07-04,17293,500,0.356699240888742,-0.014101844989036157,0.422,0.7864501050540379,15,OVERFIT_FLAG
30,2022-08-01,17793,553,0.35413708910194575,0.006766822485038038,0.5370705244122965,1.0281661408288139,15,OVERFIT_FLAG
31,2022-09-01,18346,524,0.34693030153209614,0.3573571802317364,0.6202290076335878,0.9267918586730957,15,
32,2022-10-03,18870,500,0.3530420959742937,0.04425052301050307,0.556,0.8351757605870564,15,OVERFIT_FLAG
33,2022-11-01,19370,529,0.35702487434179025,-0.04821138261157419,0.44612476370510395,0.9041290953755379,15,OVERFIT_FLAG
34,2022-12-01,19899,480,0.35532641399341125,-0.0910097101667813,0.4583333333333333,0.969104140996933,15,OVERFIT_FLAG
35,2023-01-03,20379,432,0.3678169397888405,-0.0393496090761415,0.4583333333333333,0.9664895534515381,15,OVERFIT_FLAG
36,2023-02-01,20811,480,0.3551971345552005,-0.06744257321015788,0.46041666666666664,0.9546184329425588,15,OVERFIT_FLAG
37,2023-03-01,21291,552,0.34846209018479446,0.06568740311904045,0.46557971014492755,1.0111295054940617,15,OVERFIT_FLAG
38,2023-04-03,21843,408,0.35823102370804016,-0.00048607660439088044,0.5,0.849806073639128,15,OVERFIT_FLAG
39,2023-05-02,22251,484,0.3589500676435056,0.021427192654072343,0.4359504132231405,0.758123646179835,15,OVERFIT_FLAG
40,2023-06-01,22735,483,0.34151623353609883,0.03512646894730887,0.5031055900621118,0.8754813306861453,15,OVERFIT_FLAG
41,2023-07-03,23218,460,0.343239381601136,0.10612914343137016,0.5,0.9897323595850092,15,OVERFIT_FLAG
42,2023-08-01,23678,573,0.3478222637058081,-0.053862827886062566,0.5043630017452007,0.8672416774850142,15,OVERFIT_FLAG
43,2023-09-01,24251,475,0.3500716802154175,0.09877606108534444,0.5747368421052632,0.8965773707941959,15,OVERFIT_FLAG
44,2023-10-03,24726,500,0.35138845684142184,0.06673881969953598,0.562,0.9116744756698608,15,OVERFIT_FLAG
45,2023-11-01,25226,529,0.3224085048424056,0.11884390142564787,0.5103969754253308,1.067251256108284,15,OVERFIT_FLAG
46,2023-12-01,25755,456,0.34134687785106615,0.0422041411256793,0.5307017543859649,0.8850382027171907,15,OVERFIT_FLAG
47,2024-01-02,26211,528,0.3268985816456731,-0.04394073947970146,0.42613636363636365,0.9636032978693644,15,OVERFIT_FLAG
48,2024-02-01,26739,456,0.3291586988377631,0.014868998569923096,0.5175438596491229,1.012437031382606,15,OVERFIT_FLAG
49,2024-03-01,27195,480,0.33263591557382105,0.4574389973807655,0.675,0.9986994781277396,15,
50,2024-04-02,27675,499,0.3206999049705031,-0.028664299439702914,0.42685370741482964,0.9863990491086786,15,OVERFIT_FLAG
51,2024-05-02,28174,525,0.33216608384199914,-0.06139316209385651,0.48,0.8917280949004318,15,OVERFIT_FLAG
52,2024-06-03,28699,511,0.32840163785700754,0.04975751886413073,0.4657534246575342,1.0404003107029458,15,OVERFIT_FLAG
53,2024-07-02,29210,552,0.34899092431022755,-0.034113549808796606,0.48007246376811596,0.8854207526082578,15,OVERFIT_FLAG
54,2024-08-01,29762,550,0.3215171545104361,-0.10959884297033715,0.3927272727272727,0.9162792414426804,15,OVERFIT_FLAG
55,2024-09-02,30312,457,0.32472254103081466,-0.24108151170711228,0.34573304157549234,0.9413556928435961,15,OVERFIT_FLAG
56,2024-10-02,30769,504,0.2837583104908902,0.021522274456927063,0.47023809523809523,0.8513516330718994,15,OVERFIT_FLAG
57,2024-11-01,31273,524,0.31335949078308484,-0.11949709795477621,0.46946564885496184,0.8797512006759644,15,OVERFIT_FLAG
58,2024-12-02,31797,500,0.31576706732552545,-0.2752412319183861,0.39,0.8449125456809997,15,OVERFIT_FLAG
59,2025-01-02,32297,475,0.30382821472414734,-0.028881465503319784,0.48210526315789476,0.91776298559629,15,OVERFIT_FLAG
60,2025-02-03,32772,538,0.29855640234446523,0.05772879138592984,0.5650557620817844,1.1155517536860247,15,OVERFIT_FLAG
61,2025-03-03,33310,567,0.32032847967824596,0.04728120559821649,0.5343915343915344,0.8377392556932237,15,OVERFIT_FLAG
62,2025-04-01,33877,513,0.3213355104988383,0.0075481151901829096,0.43079922027290446,0.9183938017597905,15,OVERFIT_FLAG
63,2025-05-02,34390,540,0.3129457630301582,-0.06903620850460705,0.48518518518518516,0.8703630654900162,15,OVERFIT_FLAG
64,2025-06-02,34930,567,0.29791545375205464,-0.16228440367119012,0.3968253968253968,0.9246393697602409,15,OVERFIT_FLAG
65,2025-07-02,35497,594,0.31209476466689007,0.17541570236696843,0.5336700336700336,0.8791233130863735,15,
66,2025-08-01,36091,607,0.32038717392758287,0.01252156805604168,0.4942339373970346,0.9611403983214806,15,OVERFIT_FLAG
67,2025-09-01,36698,617,0.31734419688532217,0.06398972638455686,0.4878444084278768,0.9255274082052296,15,OVERFIT_FLAG
68,2025-10-02,37315,560,0.31400635923460357,0.15863222360157347,0.5178571428571429,0.8726862003405889,15,
69,2025-11-03,37875,541,0.3098022842680354,0.036427455806038046,0.5046210720887245,0.9100643118222554,15,OVERFIT_FLAG
70,2025-12-01,38416,567,0.3178783043591757,-0.012196637882445903,0.5220458553791887,0.9700416153477084,15,OVERFIT_FLAG
71,2026-01-02,38983,547,0.3130323457778012,-0.2981665412110026,0.360146252285192,0.8545459874214665,15,OVERFIT_FLAG
72,2026-02-02,39530,442,0.2886351330477985,0.06785076937399447,0.5746606334841629,0.9110596526053644,15,OVERFIT_FLAG
73,2026-03-02,39972,572,0.30995693767050775,-0.04074302466801232,0.486013986013986,0.8970279842615128,15,OVERFIT_FLAG
74,2026-04-01,40544,208,0.2950172900909163,0.1346072103322974,0.5817307692307693,1.004668964073062,15,
