fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
0,2020-02-03,6481,539,0.23678383913970724,-0.19423333321184072,0.4174397031539889,0.973129520813624,15,OVERFIT_FLAG
1,2020-03-02,7020,594,0.20823069816442155,0.0457252227040587,0.6245791245791246,0.9213416675726572,15,
2,2020-04-01,7614,559,0.2197676938118357,0.1452934639559096,0.4865831842576029,0.8891061445077261,15,
3,2020-05-04,8173,532,0.2537042336171585,0.041660075514776206,0.4755639097744361,0.72004462991442,15,OVERFIT_FLAG
4,2020-06-01,8705,658,0.24785713925385192,0.09072536514186276,0.49544072948328266,0.898193325315203,15,
5,2020-07-01,9363,646,0.261584167285325,-0.047862661813359374,0.456656346749226,0.9299804717302322,15,OVERFIT_FLAG
6,2020-08-03,10009,579,0.2442105196351369,-0.11899786939329997,0.4525043177892919,0.6808551289141178,15,OVERFIT_FLAG
7,2020-09-01,10588,609,0.2394967829925589,0.23781703841581844,0.5714285714285714,0.7098125418027242,15,
8,2020-10-05,11197,569,0.2783867077297333,-0.00010119937227576988,0.5043936731107206,0.8382439944479201,15,OVERFIT_FLAG
9,2020-11-02,11766,630,0.2874577344242129,0.16217798981648732,0.4507936507936508,0.9700814783573151,15,
10,2020-12-01,12396,630,0.28862755435607673,-0.07804535326689156,0.42857142857142855,0.8516711741685867,15,OVERFIT_FLAG
11,2021-01-04,13026,600,0.2600874991445349,0.14641403003399553,0.565,0.8187193193218925,15,
12,2021-02-01,13626,540,0.2998019782240688,-0.010002665525185615,0.47962962962962963,0.8523988290266558,15,OVERFIT_FLAG
13,2021-03-02,14166,660,0.2789499572203782,-0.20692269560960105,0.503030303030303,0.9714945902427038,15,OVERFIT_FLAG
14,2021-04-01,14826,654,0.24768450684111365,0.007085434575761381,0.5091743119266054,0.7807307094335556,15,OVERFIT_FLAG
15,2021-05-03,15480,570,0.28124420588903387,-0.02983227675373531,0.47719298245614034,0.7751707205405602,15,OVERFIT_FLAG
16,2021-06-01,16050,660,0.29150584855545003,-0.020452061503596082,0.45454545454545453,1.012184120141543,15,OVERFIT_FLAG
17,2021-07-01,16710,660,0.2430977165529222,-0.016796699211148958,0.43636363636363634,0.9308835778917585,15,OVERFIT_FLAG
18,2021-08-02,17370,630,0.2703687256932281,-0.02587462805565363,0.5,0.959683724812099,15,OVERFIT_FLAG
19,2021-09-01,18000,570,0.24779112557765318,0.07675950355851681,0.5017543859649123,0.7747994730869929,15,
20,2021-10-01,18570,569,0.255990452694916,0.13879332295157473,0.4868189806678383,0.8293817460536956,15,
21,2021-11-01,19139,639,0.25679370466439255,0.01494023499379584,0.43661971830985913,0.766617109378179,15,OVERFIT_FLAG
22,2021-12-01,19778,659,0.2324989994641519,0.09235438793927163,0.5371775417298937,0.9761377647519112,15,
23,2022-01-03,20437,600,0.2244790516788357,-0.09296696936961306,0.4533333333333333,0.8473852388560772,15,OVERFIT_FLAG
24,2022-02-03,21037,540,0.23285200455602614,0.04846450746556122,0.47962962962962963,0.892945226501016,15,
25,2022-03-02,21577,630,0.256097963415833,-0.10926390128698167,0.4015873015873016,0.93728308467304,15,OVERFIT_FLAG
26,2022-04-01,22207,627,0.2412140942313718,-0.02051680743592778,0.46570972886762363,0.89751093255149,15,OVERFIT_FLAG
27,2022-05-02,22834,630,0.23246267054830103,-0.012846727265887632,0.43492063492063493,1.135831680562761,15,OVERFIT_FLAG
28,2022-06-02,23464,600,0.24411611078791132,0.29371095888720267,0.595,1.1064766582689787,15,
29,2022-07-01,24064,630,0.282057147492618,-0.06169323036974057,0.4444444444444444,0.8583033869141027,15,OVERFIT_FLAG
30,2022-08-01,24694,660,0.26576256191529557,0.2025950106219775,0.5409090909090909,0.8662044465541839,15,
31,2022-09-01,25354,600,0.2778435859068402,0.3175626426351339,0.515,0.8186562597751618,15,
32,2022-10-04,25954,555,0.29245396041451965,0.014855757584656949,0.5117117117117117,0.7479911418188185,15,OVERFIT_FLAG
33,2022-11-01,26509,660,0.29114446968707297,0.16290436426990912,0.553030303030303,0.8143911106245858,15,
34,2022-12-01,27169,630,0.29028820375062186,0.21906233793035101,0.5428571428571428,0.79672064835375,15,
35,2023-01-02,27799,600,0.27437357415153735,0.09751127116265314,0.4116666666666667,0.9191183664581992,15,
36,2023-02-01,28399,600,0.28967057245535943,0.031858302359429456,0.5166666666666667,0.9113165140151978,15,OVERFIT_FLAG
37,2023-03-02,28999,660,0.3063927614751279,0.08452453690679865,0.49242424242424243,0.8935449499150981,15,OVERFIT_FLAG
38,2023-04-03,29659,600,0.28258613727305776,0.048530833826700155,0.5283333333333333,0.8369471194843451,15,OVERFIT_FLAG
39,2023-05-02,30259,600,0.28149303397214254,-0.05405216363768884,0.47833333333333333,0.8378496964772543,15,OVERFIT_FLAG
