date,market,ticker,btc_corr,adv_usd,rank
2019-01-02,HK,1357.HK,0.17369908868371955,11602701.671730772,1
2019-01-02,HK,0285.HK,0.11972427058764054,8507657.47981889,2
2019-01-02,HK,3888.HK,0.11718882743047196,13406245.945008062,3
2019-01-02,HK,1833.HK,0.11104018973016158,6816083.442509292,4
2019-01-02,HK,0700.HK,0.0861498297064694,827575903.1648209,5
2019-01-02,HK,0388.HK,0.06701802819550498,102019337.37891728,6
2019-01-02,HK,0522.HK,0.06021147744367982,13371119.771530632,7
2019-01-02,HK,1478.HK,0.05283201680401221,952695.2719089745,8
2019-01-02,HK,2382.HK,0.04383786481883033,75020853.28915037,9
2019-01-02,HK,1347.HK,0.01351900466273265,11796107.086083334,10
2019-01-02,HK,0772.HK,-0.0216132530262317,7501950.087820512,11
2019-01-02,HK,2018.HK,-0.02979478509125345,40070111.48151924,12
2019-01-02,HK,6060.HK,-0.07640734892503524,9194571.760576926,13
2019-01-02,HK,1723.HK,-0.07655218526709405,579496.958670513,14
2019-01-02,HK,1810.HK,-0.10097880347904654,41877668.47846154,15
2019-01-02,HK,3690.HK,-0.141300730739557,41193667.61634616,16
2019-02-01,HK,3888.HK,0.11366778664625832,15943760.809303692,1
2019-02-01,HK,1357.HK,0.1043529030738982,6003653.607628207,2
2019-02-01,HK,1833.HK,0.06548020089463337,10179645.203263607,3
2019-02-01,HK,0700.HK,0.049722202402456124,870582899.6710182,4
2019-02-01,HK,0522.HK,0.01620021438940185,12474100.14949283,5
2019-02-01,HK,0388.HK,0.0014818261050147444,103290165.61661865,6
2019-02-01,HK,2018.HK,-0.0057523464972195635,40574245.86635897,7
2019-02-01,HK,1478.HK,-0.013684766680024508,1626137.1847230773,8
2019-02-01,HK,0285.HK,-0.01394802308386524,10826831.484864451,9
2019-02-01,HK,1347.HK,-0.018405578933504075,13621682.58267949,10
2019-02-01,HK,2382.HK,-0.05085075648559682,79889054.94295102,11
2019-02-01,HK,0772.HK,-0.11589717954155761,8559075.312820515,12
2019-02-01,HK,6060.HK,-0.12759855900753175,5856411.553846155,13
2019-02-01,HK,1810.HK,-0.13761865948969296,133792537.51275642,14
2019-02-01,HK,3690.HK,-0.1917752252176163,42690746.5724359,15
2019-03-01,HK,1357.HK,0.24832587203385525,9584460.71423077,1
2019-03-01,HK,2018.HK,0.028642530936231068,87756064.1104231,2
2019-03-01,HK,1478.HK,0.013969870737684473,6292948.606682052,3
2019-03-01,HK,1833.HK,0.0092763720413847,9848863.276856538,4
2019-03-01,HK,3888.HK,0.00770318231659109,18348473.04975808,5
2019-03-01,HK,6060.HK,-0.013107859068027427,9912523.275,6
2019-03-01,HK,1347.HK,-0.03270899459175851,20181422.757147435,7
2019-03-01,HK,2382.HK,-0.04590304958271919,122429069.04854962,8
2019-03-01,HK,0388.HK,-0.05922199619203071,212971866.9651713,9
2019-03-01,HK,1810.HK,-0.06090439589865455,161262727.58519232,10
2019-03-01,HK,0522.HK,-0.06312446203864744,14665374.750607181,11
2019-03-01,HK,0285.HK,-0.10246813999190946,20136823.801671237,12
2019-03-01,HK,0700.HK,-0.10523463992383898,683308195.3365921,13
2019-03-01,HK,0772.HK,-0.11823752848830878,17346096.908974357,14
2019-03-01,HK,3690.HK,-0.24007643444413101,57230923.88429488,15
2019-04-01,HK,1357.HK,0.13541099785446944,13821149.27346154,1
2019-04-01,HK,1810.HK,0.09393193204511545,156131276.21102569,2
2019-04-01,HK,1833.HK,0.057198192959719105,11923294.802101357,3
2019-04-01,HK,3690.HK,0.047416055778143396,100424143.86153847,4
2019-04-01,HK,2018.HK,0.04170450581866423,71888322.50769874,5
2019-04-01,HK,1478.HK,0.03460542038045441,4980680.613822437,6
2019-04-01,HK,0700.HK,-0.025833957757369703,896816791.3457994,7
2019-04-01,HK,6060.HK,-0.03952294928494957,14670405.24198718,8
2019-04-01,HK,0388.HK,-0.04360618911385902,183363857.2401401,9
2019-04-01,HK,2382.HK,-0.04510244050144542,91798118.20844308,10
2019-04-01,HK,3888.HK,-0.05352944299020228,30008433.726177692,11
2019-04-01,HK,0285.HK,-0.09594305980368428,10943557.22303462,12
2019-04-01,HK,0772.HK,-0.11517170437343913,18037633.90192308,13
2019-04-01,HK,1347.HK,-0.12604137701916235,16429187.402525643,14
2019-04-01,HK,0522.HK,-0.13161145815688674,14269537.434586683,15
2019-05-02,HK,1478.HK,0.3437347672728734,8591133.974050641,1
2019-05-02,HK,3888.HK,0.2771111972102297,27372885.023598194,2
2019-05-02,HK,0700.HK,0.18621305409328567,770227629.7273188,3
2019-05-02,HK,2382.HK,0.1832881097785545,99117836.50676627,4
2019-05-02,HK,0285.HK,0.17803816613632276,25370764.335975803,5
2019-05-02,HK,1347.HK,0.17613331742896093,12739012.444269234,6
2019-05-02,HK,1357.HK,0.16117301454407612,6420585.842692308,7
2019-05-02,HK,0388.HK,0.11099517407551225,149841479.31994575,8
2019-05-02,HK,1810.HK,0.10768039726416567,102433560.1171795,9
2019-05-02,HK,2018.HK,0.10666784176122061,109276257.10145514,10
2019-05-02,HK,1833.HK,0.0867616860569548,8401481.349607993,11
2019-05-02,HK,6060.HK,0.06423710722267509,8072418.505769233,12
2019-05-02,HK,3690.HK,0.03801637580582121,120495312.7804487,13
2019-05-02,HK,0522.HK,0.021371801944139034,16351964.813051593,14
2019-05-02,HK,0772.HK,-0.04297647294194588,10280633.714423079,15
2019-05-02,HK,0434.HK,-0.07496869103930305,692953.7185608975,16
2019-06-03,HK,1478.HK,0.4518837501423161,6596380.420452565,1
2019-06-03,HK,0285.HK,0.32364279699795434,19625359.060119025,2
2019-06-03,HK,2382.HK,0.29138390177235635,116895244.16058762,3
2019-06-03,HK,3888.HK,0.26334286766734977,32123075.219524194,4
2019-06-03,HK,0700.HK,0.22339749436551837,1006507458.1348126,5
2019-06-03,HK,1347.HK,0.21681051807508717,16624478.16804487,6
2019-06-03,HK,1833.HK,0.2009621936537463,5609052.08728516,7
2019-06-03,HK,1810.HK,0.17416963961648343,93570755.3071154,8
2019-06-03,HK,0522.HK,0.14991127541670035,14385243.596037269,9
2019-06-03,HK,2018.HK,0.13949767186578385,58300957.63173078,10
2019-06-03,HK,0388.HK,0.11206983834774822,188746749.63631988,11
2019-06-03,HK,1357.HK,0.09474365566038592,4109560.0963461534,12
2019-06-03,HK,6060.HK,0.0598034529182674,5647696.374358975,13
2019-06-03,HK,0772.HK,0.004647683748583755,7655375.208653848,14
2019-06-03,HK,3690.HK,-0.014068569362856696,216689440.3839744,15
2019-07-02,HK,1478.HK,0.22585157790230037,4236228.210353846,1
2019-07-02,HK,0772.HK,0.17150969905826619,6923804.115064104,2
2019-07-02,HK,3888.HK,0.14756603205244528,35895793.83615735,3
2019-07-02,HK,1347.HK,0.1413858704093482,9745926.795384618,4
2019-07-02,HK,0285.HK,0.11436665600850499,9027028.94331602,5
2019-07-02,HK,2382.HK,0.09717662447818753,78535018.24490991,6
2019-07-02,HK,1357.HK,0.09151977626019524,3610309.6485256413,7
2019-07-02,HK,1810.HK,0.09062983085081516,86047421.85653847,8
2019-07-02,HK,0700.HK,0.0802867076297357,710741331.6769965,9
2019-07-02,HK,1833.HK,0.06495977194603512,7541254.031673205,10
2019-07-02,HK,2018.HK,0.06492122015466283,31888822.731333338,11
2019-07-02,HK,0522.HK,0.03366476707811138,10689944.227124603,12
2019-07-02,HK,0388.HK,0.02213947086591632,174887141.71771294,13
2019-07-02,HK,6060.HK,-0.029133855603311616,3520873.5022435905,14
2019-07-02,HK,3690.HK,-0.14157982227293409,206430565.5166667,15
2019-08-01,HK,0772.HK,0.24467861179199318,15512898.868589744,1
2019-08-01,HK,1478.HK,0.015500676119910885,6492108.339027565,2
2019-08-01,HK,0285.HK,-0.007983119643897904,8554041.919904659,3
2019-08-01,HK,2382.HK,-0.05754823318253939,65731717.96743935,4
2019-08-01,HK,1347.HK,-0.07049632038133714,12054706.02666667,5
2019-08-01,HK,0700.HK,-0.07329744308168057,476615860.2806381,6
2019-08-01,HK,1810.HK,-0.07641234769868456,75056719.69826923,7
2019-08-01,HK,3690.HK,-0.07941821034393944,88526782.81378205,8
2019-08-01,HK,0522.HK,-0.08527534270540298,21528512.034070607,9
2019-08-01,HK,1833.HK,-0.0990258265479496,6928586.96384238,10
2019-08-01,HK,1357.HK,-0.10519638586397989,5499594.651089745,11
2019-08-01,HK,0388.HK,-0.10914437836335628,105167235.21932557,12
2019-08-01,HK,2018.HK,-0.11946346502931818,28585564.302730776,13
2019-08-01,HK,3888.HK,-0.13142301973284182,26181043.982283987,14
2019-08-01,HK,6060.HK,-0.14317386116929126,4697532.813974359,15
2019-09-02,HK,0772.HK,0.2625845402653248,13959511.327935224,1
2019-09-02,HK,2369.HK,0.09348774217712244,976497.4871794874,2
2019-09-02,HK,6060.HK,-0.028022676962270333,8673454.893252363,3
2019-09-02,HK,3690.HK,-0.06529276984466102,183893044.21423754,4
2019-09-02,HK,1810.HK,-0.11660925777574813,109822003.98704454,5
2019-09-02,HK,0388.HK,-0.12496218651737755,177944289.28828162,6
2019-09-02,HK,0285.HK,-0.13057901506169406,26448113.692523386,7
2019-09-02,HK,1478.HK,-0.15323176455204685,7751186.858626282,8
2019-09-02,HK,1347.HK,-0.15435633139711152,8824022.483589746,9
2019-09-02,HK,0700.HK,-0.16535529609372868,810505150.929734,10
2019-09-02,HK,1833.HK,-0.19221853821075158,27185354.26939693,11
2019-09-02,HK,2018.HK,-0.19430551856921577,39004124.42867308,12
2019-09-02,HK,1357.HK,-0.19824974602174747,2615202.144358975,13
2019-09-02,HK,3888.HK,-0.20883987319788844,27947330.045289956,14
2019-09-02,HK,0522.HK,-0.2211160805412899,14549442.739644382,15
2019-09-02,HK,2382.HK,-0.2747316711420976,131017746.7944345,16
2019-10-02,HK,0772.HK,0.1648406588075316,6387597.608653846,1
2019-10-02,HK,6060.HK,0.11156303312612166,5370142.808846154,2
2019-10-02,HK,3690.HK,0.07218273451929721,204387056.19903845,3
2019-10-02,HK,2369.HK,0.06907135817456532,1621841.734615385,4
2019-10-02,HK,1810.HK,0.04602325263612287,98675297.00128207,5
2019-10-02,HK,1347.HK,0.012047293631644349,13401120.56141026,6
2019-10-02,HK,0285.HK,0.0045192258344646805,20720694.66632954,7
2019-10-02,HK,3888.HK,-0.021645055373027668,33836686.44687339,8
2019-10-02,HK,1478.HK,-0.0684589649572207,10473855.860762823,9
2019-10-02,HK,0522.HK,-0.07787046011775187,14035212.53216585,10
2019-10-02,HK,0388.HK,-0.08039509144677552,213819930.62647277,11
2019-10-02,HK,1833.HK,-0.09938623610268667,17341427.005447637,12
2019-10-02,HK,0700.HK,-0.1003016864990691,590450531.048334,13
2019-10-02,HK,2018.HK,-0.1016167550735572,70112896.96099359,14
2019-10-02,HK,1357.HK,-0.1740381043720199,2162784.7316666665,15
2019-10-02,HK,2382.HK,-0.25393388592100846,105034597.9773421,16
2019-11-01,HK,1347.HK,0.2433052845841433,7452783.610000001,1
2019-11-01,HK,0772.HK,0.2363722520301255,8432032.302564103,2
2019-11-01,HK,1833.HK,0.19724551365445328,61868661.932648286,3
2019-11-01,HK,3690.HK,0.16028292490080986,292091675.88429487,4
2019-11-01,HK,3888.HK,0.13499852310631272,20142991.167495422,5
2019-11-01,HK,6060.HK,0.12412464423958618,17585122.567115385,6
2019-11-01,HK,0388.HK,0.04736425642807851,141746472.616874,7
2019-11-01,HK,1478.HK,0.029131758096134025,9953549.93040385,8
2019-11-01,HK,0285.HK,0.020075700638086107,16826831.846579902,9
2019-11-01,HK,0700.HK,0.018799477422489688,652648602.4661252,10
2019-11-01,HK,1810.HK,0.017413415659127237,100083645.58173077,11
2019-11-01,HK,2018.HK,-0.008310020305407999,59253047.00194873,12
2019-11-01,HK,0522.HK,-0.04167302002903651,19788867.56568194,13
2019-11-01,HK,1357.HK,-0.06952265874200134,3658869.517371795,14
2019-11-01,HK,2382.HK,-0.08374418005554392,77842561.92476185,15
2019-12-02,HK,1347.HK,0.290920235355798,10615377.101282055,1
2019-12-02,HK,1833.HK,0.1849432318251664,67780979.19503884,2
2019-12-02,HK,0772.HK,0.17268420658294859,8105959.305128205,3
2019-12-02,HK,3690.HK,0.13727425481983185,324924594.19134617,4
2019-12-02,HK,1810.HK,0.08236459021797597,94859929.18153848,5
2019-12-02,HK,3888.HK,0.07625134869070532,47045561.483283296,6
2019-12-02,HK,2382.HK,0.06052381851172956,89110621.6256288,7
2019-12-02,HK,0522.HK,0.047041425528170054,17285347.885922737,8
2019-12-02,HK,1478.HK,0.040801976877455085,8854235.561185896,9
2019-12-02,HK,0285.HK,0.03641012268999099,16607754.672056202,10
2019-12-02,HK,2018.HK,0.02413549573517241,83213992.84734616,11
2019-12-02,HK,0388.HK,0.013961054216231403,136162585.7552745,12
2019-12-02,HK,6060.HK,-0.017536643590088167,15032520.634615388,13
2019-12-02,HK,1357.HK,-0.04450064744235222,4519552.990064102,14
2019-12-02,HK,0700.HK,-0.056633576360833486,736612903.3544948,15
2020-01-02,HK,1833.HK,0.23483706216774794,25413068.426213212,1
2020-01-02,HK,1347.HK,0.20309854324515228,20787966.96794872,2
2020-01-02,HK,3690.HK,0.138092122432319,198050033.56217954,3
2020-01-02,HK,0772.HK,0.12206460419798658,7121888.5185897425,4
2020-01-02,HK,2382.HK,0.0888851661462723,111436144.43303962,5
2020-01-02,HK,0388.HK,0.06891793121684915,109080918.54013535,6
2020-01-02,HK,0522.HK,0.04011969067820732,10043660.032228649,7
2020-01-02,HK,1810.HK,0.0388772730383313,231150543.9303206,8
2020-01-02,HK,1478.HK,0.021867171206036318,17467989.804230772,9
2020-01-02,HK,0700.HK,0.009873808006849082,800219090.7152331,10
2020-01-02,HK,0285.HK,-0.004065199620020592,16352139.781360278,11
2020-01-02,HK,2018.HK,-0.007013957616260781,84881137.60640386,12
2020-01-02,HK,6060.HK,-0.029811759231463727,15150741.802564105,13
2020-01-02,HK,3888.HK,-0.04476873744588822,31685356.18832509,14
2020-01-02,HK,2369.HK,-0.05862957301363657,2851870.5351282055,15
2020-01-02,HK,1357.HK,-0.10940425235166673,2956403.5155769237,16
2020-02-03,HK,3690.HK,0.09386958171259036,341635950.3205129,1
2020-02-03,HK,0522.HK,0.09197566598930972,17670148.593289096,2
2020-02-03,HK,1833.HK,0.06901092997450319,65211039.993125275,3
